,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
0,1,Thalamus,VAL,0,0.0,0,0.0,0,0.0,240.3681600000118,baseline_0-5
1,4,Thalamus,VAL,13,0.05408370226738583,55,4.230769230769231,1274,0.04317111459968603,240.3681600000118,baseline_0-5
2,5,Thalamus,VAL,3,0.012480854369396732,10,3.3333333333333335,1417,0.007057163020465773,240.3681600000118,baseline_0-5
3,9,Thalamus,VAL,0,0.0,0,0.0,1,0.0,240.3681600000118,baseline_0-5
4,10,Thalamus,VAL,1,0.0041602847897989105,3,3.0,3106,0.0009658725048293626,240.3681600000118,baseline_0-5
5,11,Thalamus,VAL,2,0.008320569579597821,5,2.5,138,0.036231884057971016,240.3681600000118,baseline_0-5
6,12,Thalamus,VAL,4,0.016641139159195642,10,2.5,183,0.0546448087431694,240.3681600000118,baseline_0-5
7,13,Thalamus,VAL,21,0.08736598058577712,45,2.142857142857143,1361,0.03306392358559882,240.3681600000118,baseline_0-5
8,14,Thalamus,VAL,0,0.0,0,0.0,138,0.0,240.3681600000118,baseline_0-5
9,15,Thalamus,VAL,1,0.0041602847897989105,4,4.0,403,0.009925558312655087,240.3681600000118,baseline_0-5
10,16,Thalamus,VAL,2,0.008320569579597821,4,2.0,1714,0.002333722287047841,240.3681600000118,baseline_0-5
11,18,Thalamus,VAL,66,0.2745787961267281,112,1.696969696969697,6051,0.0185093372996199,240.3681600000118,baseline_0-5
12,19,Thalamus,VAL,5,0.020801423948994553,17,3.4,431,0.03944315545243619,240.3681600000118,baseline_0-5
13,20,Thalamus,VAL,0,0.0,0,0.0,26,0.0,240.3681600000118,baseline_0-5
14,21,Thalamus,VAL,17,0.07072484142658148,52,3.0588235294117645,916,0.056768558951965066,240.3681600000118,baseline_0-5
15,22,Thalamus,VAL,3,0.012480854369396732,8,2.6666666666666665,647,0.012364760432766615,240.3681600000118,baseline_0-5
16,23,Thalamus,VAL,36,0.14977025243276076,105,2.9166666666666665,408,0.25735294117647056,240.3681600000118,baseline_0-5
17,24,Thalamus,VAL,8,0.033282278318391284,36,4.5,499,0.07214428857715431,240.3681600000118,baseline_0-5
18,25,Thalamus,VAL,12,0.049923417477586926,28,2.3333333333333335,1526,0.01834862385321101,240.3681600000118,baseline_0-5
19,26,Thalamus,VAL,3,0.012480854369396732,6,2.0,134,0.04477611940298507,240.3681600000118,baseline_0-5
20,27,Thalamus,VAL,7,0.029121993528592374,16,2.2857142857142856,686,0.023323615160349854,240.3681600000118,baseline_0-5
21,28,Thalamus,VAL,5,0.020801423948994553,18,3.6,920,0.01956521739130435,240.3681600000118,baseline_0-5
22,29,Thalamus,VAL,3,0.012480854369396732,9,3.0,489,0.018404907975460124,240.3681600000118,baseline_0-5
23,30,Thalamus,VAL,1,0.0041602847897989105,3,3.0,570,0.005263157894736842,240.3681600000118,baseline_0-5
24,32,Thalamus,VAL,10,0.041602847897989105,23,2.3,563,0.04085257548845471,240.3681600000118,baseline_0-5
25,33,Thalamus,VAL,3,0.012480854369396732,9,3.0,66,0.13636363636363635,240.3681600000118,baseline_0-5
26,34,Thalamus,VAL,27,0.11232768932457059,70,2.5925925925925926,710,0.09859154929577464,240.3681600000118,baseline_0-5
27,35,Thalamus,VAL,13,0.05408370226738583,29,2.230769230769231,1487,0.019502353732347006,240.3681600000118,baseline_0-5
28,37,Thalamus,VAL,2,0.008320569579597821,8,4.0,1236,0.006472491909385114,240.3681600000118,baseline_0-5
29,38,Thalamus,VAL,8,0.033282278318391284,15,1.875,964,0.015560165975103735,240.3681600000118,baseline_0-5
30,40,Thalamus,VAL,2,0.008320569579597821,4,2.0,1077,0.003714020427112349,240.3681600000118,baseline_0-5
31,41,Thalamus,VAL,7,0.029121993528592374,21,3.0,1514,0.013870541611624834,240.3681600000118,baseline_0-5
32,44,Thalamus,VAL,0,0.0,0,0.0,108,0.0,240.3681600000118,baseline_0-5
33,45,Thalamus,VAL,7,0.029121993528592374,17,2.4285714285714284,771,0.02204928664072633,240.3681600000118,baseline_0-5
34,46,Thalamus,VAL,4,0.016641139159195642,12,3.0,2506,0.004788507581803671,240.3681600000118,baseline_0-5
35,48,Thalamus,VAL,15,0.062404271846983654,36,2.4,1992,0.018072289156626505,240.3681600000118,baseline_0-5
36,50,Thalamus,VAL,81,0.33698306797371175,193,2.382716049382716,1042,0.1852207293666027,240.3681600000118,baseline_0-5
37,51,Thalamus,VAL,5,0.020801423948994553,12,2.4,769,0.015604681404421327,240.3681600000118,baseline_0-5
38,54,Thalamus,AV,75,0.3120213592349183,237,3.16,878,0.26993166287015946,240.3681600000118,baseline_0-5
39,58,Thalamus,AV,37,0.15393053722255967,139,3.7567567567567566,1533,0.09067188519243313,240.3681600000118,baseline_0-5
40,62,Thalamus,AV,120,0.49923417477586923,268,2.2333333333333334,1852,0.1447084233261339,240.3681600000118,baseline_0-5
41,63,Thalamus,AV,13,0.05408370226738583,26,2.0,2387,0.010892333472978634,240.3681600000118,baseline_0-5
42,64,Thalamus,AV,230,0.9568655016537494,624,2.7130434782608694,1877,0.3324453915823122,240.3681600000118,baseline_0-5
43,65,Thalamus,AV,174,0.7238895534250104,523,3.0057471264367814,2509,0.20844958150657633,240.3681600000118,baseline_0-5
44,66,Thalamus,AV,217,0.9027817993863636,650,2.9953917050691246,1737,0.3742084052964882,240.3681600000118,baseline_0-5
