,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
0,0.0113423384045636,<HDF5 object reference>,0,1,0,0.0428985240890495,MD,0.99,66.09532739406191,19590,0.8515912897822445,250,166,208,19590,Thalamus
1,0.0581984645035859,<HDF5 object reference>,1,2,1,0.0748472165763657,MD,0.99,66.271693605092,50463,0.7691792294807369,250,165,208,30873,Thalamus
2,0.0249381034512816,<HDF5 object reference>,1,3,2,0.1750715048047184,MD,0.99,66.45692645988207,137288,0.6730318257956448,250,165,208,86825,Thalamus
3,5.441065621225392e-06,<HDF5 object reference>,1,4,3,0.0097039378091914,MD,0.99,66.55802619869405,184849,0.7005025125628142,250,165,208,47561,Thalamus
4,0.0109711265088268,<HDF5 object reference>,1,5,4,0.079048945290847,MD,0.99,66.98122510537296,207667,0.7417085427135679,250,165,208,22818,Thalamus
5,0.0023178211632771,<HDF5 object reference>,2,6,5,0.0148209529922621,IAD,0.99,68.92312008854816,283424,0.7142378559463987,250,164,208,75757,Thalamus
6,0.0341330322770784,<HDF5 object reference>,2,7,6,0.2660524152744637,IAD,0.99,69.08981965788504,372826,0.7417085427135678,250,164,208,89402,Thalamus
7,0.0078577059368299,<HDF5 object reference>,3,8,7,0.1008899927084793,MD,0.99,69.2086860174642,401862,0.769179229480737,250,164,208,29036,Thalamus
8,0.0002358574947566,<HDF5 object reference>,4,9,8,0.0,MD,0.99,70.73331541196531,456782,0.7005025125628142,250,164,208,54920,Thalamus
11,1.571521965209771e-05,<HDF5 object reference>,5,12,11,0.0,MD,0.99,72.98784292079752,549969,0.6455611390284757,250,163,208,16467,Thalamus
13,0.0003523781826211,<HDF5 object reference>,6,14,13,0.0038272659890081,MD,0.99,73.67407448127312,691772,0.7005025125628142,250,163,208,70841,Thalamus
14,0.0029260914420948,<HDF5 object reference>,6,15,14,0.1763949549359856,MD,0.98,74.0078402856663,695716,0.7142378559463987,250,163,208,3944,Thalamus
16,0.0099706079691299,<HDF5 object reference>,8,17,16,0.0372389907731897,MD,0.99,75.65186937170205,766254,0.6592964824120603,251,162,208,42052,Thalamus
17,0.0181205349840647,<HDF5 object reference>,8,18,17,0.0,MD,0.97,76.36836752065155,769237,0.6867671691792293,251,162,208,2983,Thalamus
18,0.0200958868207257,<HDF5 object reference>,9,19,18,0.0392289913562324,MD,0.99,77.34109834096532,795684,0.769179229480737,251,161,208,26447,Thalamus
19,0.048903707015301,<HDF5 object reference>,9,20,19,0.0680658594971655,MD,0.99,78.2800625818473,884345,0.6455611390284757,251,161,208,88661,Thalamus
21,0.049985207453509,<HDF5 object reference>,10,22,21,0.0459330434389896,MD,0.99,78.72272810490148,977226,0.6730318257956448,251,161,208,51847,Thalamus
22,0.022641022005882,<HDF5 object reference>,10,23,22,0.0365583000712531,MD,0.99,79.19872687517358,1012946,0.7966499162479062,251,161,208,35720,Thalamus
23,0.0033727363705704,<HDF5 object reference>,11,24,23,0.0097654222547642,MD,0.99,79.27146002060312,1063233,0.8103852596314908,251,161,208,50287,Thalamus
25,0.0001253241228137,<HDF5 object reference>,13,26,25,0.0016506256998147,MD,0.99,81.46378769012665,1227860,0.6592964824120603,251,160,208,107871,Thalamus
26,0.0007483976627026,<HDF5 object reference>,13,27,26,0.0218164222849851,MD,0.99,82.06525280292706,1265055,0.6455611390284757,251,160,208,37195,Thalamus
28,0.0089037511191094,<HDF5 object reference>,14,29,28,0.1790007245412621,MD,0.99,82.23188570576951,1465571,0.6730318257956448,251,159,208,133289,Thalamus
29,0.0012740452703717,<HDF5 object reference>,14,30,29,0.0230165432721731,MD,0.99,82.38061865485594,1506424,0.7142378559463987,251,159,208,40853,Thalamus
31,0.000816590496097,<HDF5 object reference>,15,32,31,0.0281103806124897,MD,0.99,82.72818442359734,1602403,0.6318257956448912,251,159,208,35622,Thalamus
33,0.0005433004354287,<HDF5 object reference>,17,34,33,0.0382797614708013,MD,0.99,83.75531510337078,1647163,0.6592964824120603,251,158,208,43170,Thalamus
35,0.001582624895798,<HDF5 object reference>,17,36,35,0.0093017269031637,MD,0.99,84.34148025569814,1735756,0.6180904522613065,251,158,208,78706,Thalamus
37,0.0004079444466489,<HDF5 object reference>,14,38,37,0.0147300097882411,MD,0.99,85.21521133177464,1828421,0.6318257956448909,251,159,208,36110,Thalamus
39,0.0008009728182673,<HDF5 object reference>,18,40,39,0.0365389458141784,MD,0.99,86.93087356608173,1906677,0.6318257956448912,251,158,208,25997,Thalamus
40,0.0406186729456792,<HDF5 object reference>,19,41,40,0.0878322152184574,MD,0.99,87.16320629919073,1936776,0.5906197654941373,251,157,207,30099,Thalamus
43,8.675790379333727e-05,<HDF5 object reference>,21,44,43,0.0089979036682783,MD,0.99,89.39126720973191,2122220,0.6592964824120603,251,156,207,85549,Thalamus
44,0.0002036102868919,<HDF5 object reference>,21,45,44,0.0177546650974111,MD,0.99,89.65823318670034,2165284,0.7005025125628142,251,156,207,43064,Thalamus
46,0.0002075769321465,<HDF5 object reference>,24,47,46,0.0,MD,0.99,92.04486035425722,2316816,0.7142378559463985,252,155,207,75133,Thalamus
47,0.0502876927417632,<HDF5 object reference>,24,48,47,0.1184187999708952,MD,0.99,93.66958949015378,2376162,0.6318257956448912,252,155,207,59346,Thalamus
48,0.0002751242709377,<HDF5 object reference>,26,49,48,0.0209613481626005,MD,0.99,93.97998868824719,2469812,0.6318257956448912,252,154,207,93650,Thalamus
49,0.0012521807060896,<HDF5 object reference>,25,50,49,0.0114983147626672,MD,0.99,94.58495379200548,2516155,0.6867671691792295,252,154,207,46343,Thalamus
50,0.0112667510633107,<HDF5 object reference>,29,51,50,0.0276985690934201,MD,0.99,94.94688619029782,2568821,0.6592964824120604,252,153,207,52666,Thalamus
53,0.0035047966117023,<HDF5 object reference>,26,54,53,0.0318979166172265,MD,0.99,96.15881639264747,2759122,0.6180904522613065,252,154,207,104931,Thalamus
54,0.0007045808808757,<HDF5 object reference>,26,55,54,0.0,MD,0.99,96.23391619862947,2797786,0.7142378559463987,252,154,207,38664,Thalamus
57,0.0277174380883528,<HDF5 object reference>,27,58,57,0.0393055873105407,MD,0.99,97.31171341417416,2985735,0.7005025125628142,252,154,207,39189,Thalamus
58,0.0002152711094085,<HDF5 object reference>,26,59,58,0.0109626730569336,MD,0.99,97.35831329378485,3107255,0.6730318257956448,252,154,207,121520,Thalamus
60,0.0009092364161179,<HDF5 object reference>,29,61,60,0.0328924907422658,MD,0.99,97.82581208601637,3219830,0.7142378559463987,252,153,207,30292,Thalamus
63,1.943910741723186e-05,<HDF5 object reference>,30,64,63,0.0,MD,0.99,98.43901050183749,3328403,0.6867671691792295,252,152,207,13323,Thalamus
65,4.4921206552794426e-05,<HDF5 object reference>,31,66,65,9.027259452995128e-05,MD,0.99,98.47741040263256,3548945,0.6455611390284757,252,152,207,174342,Thalamus
66,0.0002905231544533,<HDF5 object reference>,32,67,66,0.0026206803084474,MD,0.99,98.80610955344861,3628204,0.7279731993299831,252,151,207,79259,Thalamus
67,0.0180944031317125,<HDF5 object reference>,32,68,67,0.0378849847861281,MD,0.99,98.83724280635015,3674817,0.6730318257956448,252,151,207,46613,Thalamus
68,0.0001001817624332,<HDF5 object reference>,33,69,68,0.0,MD,0.99,99.34580815915417,3738362,0.6592964824120602,252,151,207,63545,Thalamus
70,0.0593074715662576,<HDF5 object reference>,34,71,70,0.0,MD,0.99,100.90220413825398,3815808,0.6730318257956448,252,151,207,8330,Thalamus
71,0.0132556830962263,<HDF5 object reference>,34,72,71,0.0301241965228358,MD,0.99,101.64576888394443,3842802,0.8378559463986601,252,151,207,26994,Thalamus
73,0.00220359110282,<HDF5 object reference>,34,74,73,0.021384246009578,MD,0.99,102.36446702721031,3943146,0.6592964824120602,252,151,207,51909,Thalamus
74,0.0004600824765248,<HDF5 object reference>,35,75,74,0.0068187152542724,MD,0.99,102.95913215757827,4155440,0.7005025125628142,252,150,207,212294,Thalamus
75,0.0932530565732184,<HDF5 object reference>,35,76,75,0.1319720104948001,MD,0.99,103.22393147347753,4212936,0.6455611390284757,252,150,207,57496,Thalamus
76,0.0004694129925177,<HDF5 object reference>,37,77,76,0.0043898048305788,MD,0.99,103.90662970974805,4287939,0.6318257956448912,252,149,206,75003,Thalamus
77,0.0003859352736985,<HDF5 object reference>,37,78,77,0.0069543488375036,MD,0.99,104.0552293258456,4416668,0.6180904522613064,252,149,206,128729,Thalamus
78,0.0178763334591652,<HDF5 object reference>,37,79,78,0.0757058323616836,MD,0.99,104.16066238679593,4503075,0.6592964824120603,252,149,206,86407,Thalamus
79,0.0129354847041341,<HDF5 object reference>,38,80,79,0.0282889538526121,MD,0.99,104.75542751690554,4594936,0.5906197654941373,252,149,206,91861,Thalamus
80,0.0035228079293859,<HDF5 object reference>,38,81,80,0.2052401157623914,MD,0.99,104.80936071090414,4601269,0.7005025125628142,252,149,206,6333,Thalamus
83,0.0024504511898672,<HDF5 object reference>,41,84,83,0.0290342166833667,MD,0.99,108.50521782943984,4703131,0.6867671691792295,253,148,206,45597,Thalamus
84,0.0419818801192497,<HDF5 object reference>,41,85,84,0.0311932014330019,MD,0.99,108.6841173672585,4763185,0.6867671691792295,253,148,206,60054,Thalamus
