,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
0,0,Thalamus,VAL,0,0.0,0,0.0,1169,0.0,69.31000000000017,baseline_0-5
1,2,Thalamus,VAL,0,0.0,0,0.0,207,0.0,69.31000000000017,baseline_0-5
2,9,Thalamus,VAL,0,0.0,0,0.0,275,0.0,69.31000000000017,baseline_0-5
3,10,Thalamus,VAL,1,0.01442793247727597,1,1.0,818,0.0012224938875305623,69.31000000000017,baseline_0-5
4,12,Thalamus,VAL,0,0.0,0,0.0,619,0.0,69.31000000000017,baseline_0-5
5,13,Thalamus,VAL,1,0.01442793247727597,3,3.0,157,0.01910828025477707,69.31000000000017,baseline_0-5
6,14,Thalamus,VAL,0,0.0,0,0.0,699,0.0,69.31000000000017,baseline_0-5
7,16,Thalamus,VAL,0,0.0,0,0.0,40,0.0,69.31000000000017,baseline_0-5
8,17,Thalamus,VAL,0,0.0,0,0.0,909,0.0,69.31000000000017,baseline_0-5
9,18,Thalamus,VAL,0,0.0,0,0.0,591,0.0,69.31000000000017,baseline_0-5
10,22,Thalamus,VAL,3,0.04328379743182791,4,1.3333333333333333,1086,0.003683241252302026,69.31000000000017,baseline_0-5
11,23,Thalamus,VAL,1,0.01442793247727597,1,1.0,374,0.00267379679144385,69.31000000000017,baseline_0-5
12,25,Thalamus,VAL,0,0.0,0,0.0,1109,0.0,69.31000000000017,baseline_0-5
13,26,Thalamus,VAL,0,0.0,0,0.0,396,0.0,69.31000000000017,baseline_0-5
14,27,Thalamus,VAL,0,0.0,0,0.0,762,0.0,69.31000000000017,baseline_0-5
15,28,Thalamus,VAL,0,0.0,0,0.0,777,0.0,69.31000000000017,baseline_0-5
16,29,Thalamus,VAL,0,0.0,0,0.0,404,0.0,69.31000000000017,baseline_0-5
17,30,Thalamus,VAL,0,0.0,0,0.0,339,0.0,69.31000000000017,baseline_0-5
18,31,Thalamus,VAL,0,0.0,0,0.0,536,0.0,69.31000000000017,baseline_0-5
19,33,Thalamus,VAL,0,0.0,0,0.0,2663,0.0,69.31000000000017,baseline_0-5
20,34,Thalamus,VAL,0,0.0,0,0.0,713,0.0,69.31000000000017,baseline_0-5
21,35,Thalamus,VAL,0,0.0,0,0.0,629,0.0,69.31000000000017,baseline_0-5
22,38,Thalamus,VAL,1,0.01442793247727597,2,2.0,459,0.004357298474945534,69.31000000000017,baseline_0-5
23,40,Thalamus,VAL,0,0.0,0,0.0,774,0.0,69.31000000000017,baseline_0-5
24,42,Thalamus,VAL,0,0.0,0,0.0,1330,0.0,69.31000000000017,baseline_0-5
25,44,Thalamus,VAL,0,0.0,0,0.0,182,0.0,69.31000000000017,baseline_0-5
26,45,Thalamus,VAL,1,0.01442793247727597,1,1.0,1301,0.0007686395080707148,69.31000000000017,baseline_0-5
27,49,Thalamus,VAL,0,0.0,0,0.0,2486,0.0,69.31000000000017,baseline_0-5
28,51,Thalamus,VAL,0,0.0,0,0.0,826,0.0,69.31000000000017,baseline_0-5
29,53,Thalamus,VAL,0,0.0,0,0.0,917,0.0,69.31000000000017,baseline_0-5
30,56,Thalamus,LD,0,0.0,0,0.0,2102,0.0,69.31000000000017,baseline_0-5
31,57,Thalamus,VAL,2,0.02885586495455194,4,2.0,851,0.004700352526439483,69.31000000000017,baseline_0-5
32,62,Thalamus,LD,0,0.0,0,0.0,98,0.0,69.31000000000017,baseline_0-5
33,65,Thalamus,LD,0,0.0,0,0.0,540,0.0,69.31000000000017,baseline_0-5
34,67,Thalamus,LD,0,0.0,0,0.0,638,0.0,69.31000000000017,baseline_0-5
35,76,Thalamus,LD,0,0.0,0,0.0,1297,0.0,69.31000000000017,baseline_0-5
36,77,Thalamus,LD,0,0.0,0,0.0,1241,0.0,69.31000000000017,baseline_0-5
37,78,Thalamus,LD,0,0.0,0,0.0,732,0.0,69.31000000000017,baseline_0-5
38,79,Thalamus,LD,0,0.0,0,0.0,839,0.0,69.31000000000017,baseline_0-5
39,80,Thalamus,LD,1,0.01442793247727597,1,1.0,1759,0.0005685048322910744,69.31000000000017,baseline_0-5
40,82,Thalamus,LD,0,0.0,0,0.0,580,0.0,69.31000000000017,baseline_0-5
41,83,Thalamus,LD,0,0.0,0,0.0,2252,0.0,69.31000000000017,baseline_0-5
42,84,Thalamus,LD,1,0.01442793247727597,2,2.0,1027,0.0019474196689386564,69.31000000000017,baseline_0-5
43,85,Thalamus,LD,0,0.0,0,0.0,3998,0.0,69.31000000000017,baseline_0-5
44,88,Thalamus,LD,0,0.0,0,0.0,955,0.0,69.31000000000017,baseline_0-5
45,89,Thalamus,LD,0,0.0,0,0.0,1297,0.0,69.31000000000017,baseline_0-5
46,92,Thalamus,LD,0,0.0,0,0.0,101,0.0,69.31000000000017,baseline_0-5
47,93,Thalamus,LD,1,0.01442793247727597,1,1.0,707,0.0014144271570014145,69.31000000000017,baseline_0-5
48,94,Thalamus,LD,2,0.02885586495455194,2,1.0,53,0.03773584905660377,69.31000000000017,baseline_0-5
49,98,Thalamus,LD,1,0.01442793247727597,1,1.0,256,0.00390625,69.31000000000017,baseline_0-5
50,99,Thalamus,LD,0,0.0,0,0.0,170,0.0,69.31000000000017,baseline_0-5
51,100,Thalamus,LD,1,0.01442793247727597,3,3.0,488,0.006147540983606557,69.31000000000017,baseline_0-5
52,102,Thalamus,LD,0,0.0,0,0.0,335,0.0,69.31000000000017,baseline_0-5
53,103,Thalamus,LD,0,0.0,0,0.0,564,0.0,69.31000000000017,baseline_0-5
54,105,Thalamus,LD,1,0.01442793247727597,3,3.0,48,0.0625,69.31000000000017,baseline_0-5
55,106,Thalamus,LD,0,0.0,0,0.0,1357,0.0,69.31000000000017,baseline_0-5
56,107,Thalamus,LD,2,0.02885586495455194,4,2.0,249,0.01606425702811245,69.31000000000017,baseline_0-5
57,109,Thalamus,LD,1,0.01442793247727597,2,2.0,707,0.002828854314002829,69.31000000000017,baseline_0-5
58,112,Thalamus,LD,1,0.01442793247727597,2,2.0,216,0.009259259259259259,69.31000000000017,baseline_0-5
59,113,Thalamus,LD,4,0.05771172990910388,10,2.5,287,0.03484320557491289,69.31000000000017,baseline_0-5
60,118,Thalamus,LD,6,0.08656759486365583,11,1.8333333333333333,1041,0.010566762728146013,69.31000000000017,baseline_0-5
61,120,Thalamus,LD,1,0.01442793247727597,3,3.0,892,0.0033632286995515697,69.31000000000017,baseline_0-5
62,123,Thalamus,LD,0,0.0,0,0.0,1088,0.0,69.31000000000017,baseline_0-5
63,124,Thalamus,LD,9,0.12985139229548373,22,2.4444444444444446,734,0.02997275204359673,69.31000000000017,baseline_0-5
64,126,Thalamus,LD,4,0.05771172990910388,10,2.5,984,0.01016260162601626,69.31000000000017,baseline_0-5
65,127,Thalamus,LD,7,0.1009955273409318,18,2.5714285714285716,1358,0.013254786450662739,69.31000000000017,baseline_0-5
66,129,Thalamus,LD,4,0.05771172990910388,8,2.0,148,0.05405405405405406,69.31000000000017,baseline_0-5
67,130,Thalamus,LD,5,0.07213966238637985,9,1.8,1915,0.004699738903394256,69.31000000000017,baseline_0-5
68,132,Thalamus,LD,4,0.05771172990910388,12,3.0,1463,0.008202323991797676,69.31000000000017,baseline_0-5
69,135,Thalamus,LD,5,0.07213966238637985,7,1.4,1347,0.005196733481811433,69.31000000000017,baseline_0-5
70,136,Thalamus,LD,0,0.0,0,0.0,3,0.0,69.31000000000017,baseline_0-5
71,138,Thalamus,LD,34,0.490549704227383,82,2.411764705882353,539,0.15213358070500926,69.31000000000017,baseline_0-5
72,140,Thalamus,LD,8,0.11542345981820776,19,2.375,1304,0.014570552147239263,69.31000000000017,baseline_0-5
73,141,Thalamus,LD,19,0.27413071706824343,53,2.789473684210526,529,0.1001890359168242,69.31000000000017,baseline_0-5
74,142,Thalamus,LD,31,0.44726590679555506,92,2.967741935483871,713,0.12903225806451613,69.31000000000017,baseline_0-5
75,146,Thalamus,LD,0,0.0,0,0.0,24,0.0,69.31000000000017,baseline_0-5
76,147,Thalamus,LD,8,0.11542345981820776,22,2.75,1331,0.01652892561983471,69.31000000000017,baseline_0-5
77,152,Thalamus,LD,29,0.41841004184100317,80,2.7586206896551726,442,0.18099547511312217,69.31000000000017,baseline_0-5
78,154,Thalamus,LD,95,1.3706535853412172,291,3.0631578947368423,536,0.542910447761194,69.31000000000017,baseline_0-5
79,157,Thalamus,LD,16,0.23084691963641552,36,2.25,537,0.0670391061452514,69.31000000000017,baseline_0-5
80,160,Thalamus,LD,19,0.27413071706824343,42,2.210526315789474,1474,0.028493894165535955,69.31000000000017,baseline_0-5
81,161,Thalamus,LD,19,0.27413071706824343,47,2.473684210526316,369,0.12737127371273713,69.31000000000017,baseline_0-5
82,162,Thalamus,LD,32,0.46169383927283103,95,2.96875,408,0.23284313725490197,69.31000000000017,baseline_0-5
83,165,Thalamus,LD,30,0.4328379743182791,92,3.066666666666667,927,0.09924487594390508,69.31000000000017,baseline_0-5
84,167,Thalamus,LD,58,0.8368200836820063,162,2.793103448275862,765,0.21176470588235294,69.31000000000017,baseline_0-5
