,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
0,2,Thalamus,VAL,0.0,0.0,0.0,0.0,241.0,0.0,19.004519999999673,baseline_0-5
1,3,Thalamus,VAL,0.0,0.0,0.0,0.0,46.0,0.0,19.004519999999673,baseline_0-5
2,5,Thalamus,VAL,0.0,0.0,0.0,0.0,216.0,0.0,19.004519999999673,baseline_0-5
3,7,Thalamus,VAL,0.0,0.0,0.0,0.0,23.0,0.0,19.004519999999673,baseline_0-5
4,8,Thalamus,VAL,0.0,0.0,0.0,0.0,125.0,0.0,19.004519999999673,baseline_0-5
5,11,Thalamus,VAL,0.0,0.0,0.0,0.0,1.0,0.0,19.004519999999673,baseline_0-5
6,12,Thalamus,VAL,1.0,0.05261906114966425,1.0,1.0,180.0,0.005555555555555556,19.004519999999673,baseline_0-5
7,15,Thalamus,VAL,0.0,0.0,0.0,0.0,88.0,0.0,19.004519999999673,baseline_0-5
8,16,Thalamus,VAL,0.0,0.0,0.0,0.0,186.0,0.0,19.004519999999673,baseline_0-5
9,19,Thalamus,VAL,0.0,0.0,0.0,0.0,187.0,0.0,19.004519999999673,baseline_0-5
10,20,Thalamus,VAL,0.0,0.0,0.0,0.0,12.0,0.0,19.004519999999673,baseline_0-5
11,21,Thalamus,VAL,0.0,0.0,0.0,0.0,602.0,0.0,19.004519999999673,baseline_0-5
12,22,Thalamus,VAL,0.0,0.0,0.0,0.0,238.0,0.0,19.004519999999673,baseline_0-5
13,23,Thalamus,VAL,0.0,0.0,0.0,0.0,0.0,0.0,19.004519999999673,baseline_0-5
14,24,Thalamus,VAL,0.0,0.0,0.0,0.0,1441.0,0.0,19.004519999999673,baseline_0-5
15,25,Thalamus,VAL,0.0,0.0,0.0,0.0,138.0,0.0,19.004519999999673,baseline_0-5
16,26,Thalamus,VAL,1.0,0.05261906114966425,4.0,4.0,57.0,0.07017543859649122,19.004519999999673,baseline_0-5
17,27,Thalamus,VAL,0.0,0.0,0.0,0.0,134.0,0.0,19.004519999999673,baseline_0-5
18,32,Thalamus,VAL,0.0,0.0,0.0,0.0,427.0,0.0,19.004519999999673,baseline_0-5
19,35,Thalamus,VAL,0.0,0.0,0.0,0.0,180.0,0.0,19.004519999999673,baseline_0-5
20,37,Thalamus,VAL,0.0,0.0,0.0,0.0,327.0,0.0,19.004519999999673,baseline_0-5
21,40,Thalamus,VAL,0.0,0.0,0.0,0.0,94.0,0.0,19.004519999999673,baseline_0-5
22,41,Thalamus,VAL,0.0,0.0,0.0,0.0,306.0,0.0,19.004519999999673,baseline_0-5
23,43,Thalamus,VAL,0.0,0.0,0.0,0.0,96.0,0.0,19.004519999999673,baseline_0-5
24,44,Thalamus,VAL,0.0,0.0,0.0,0.0,92.0,0.0,19.004519999999673,baseline_0-5
25,46,Thalamus,VAL,0.0,0.0,0.0,0.0,48.0,0.0,19.004519999999673,baseline_0-5
26,48,Thalamus,VAL,0.0,0.0,0.0,0.0,14.0,0.0,19.004519999999673,baseline_0-5
27,50,Thalamus,VAL,0.0,0.0,0.0,0.0,104.0,0.0,19.004519999999673,baseline_0-5
28,51,Thalamus,VAL,0.0,0.0,0.0,0.0,286.0,0.0,19.004519999999673,baseline_0-5
29,53,Thalamus,VAL,0.0,0.0,0.0,0.0,179.0,0.0,19.004519999999673,baseline_0-5
30,55,Thalamus,VAL,0.0,0.0,0.0,0.0,188.0,0.0,19.004519999999673,baseline_0-5
31,56,Thalamus,VAL,0.0,0.0,0.0,0.0,189.0,0.0,19.004519999999673,baseline_0-5
32,57,Thalamus,VAL,0.0,0.0,0.0,0.0,38.0,0.0,19.004519999999673,baseline_0-5
33,58,Thalamus,VAL,0.0,0.0,0.0,0.0,223.0,0.0,19.004519999999673,baseline_0-5
34,59,Thalamus,VAL,0.0,0.0,0.0,0.0,86.0,0.0,19.004519999999673,baseline_0-5
35,60,Thalamus,VAL,0.0,0.0,0.0,0.0,146.0,0.0,19.004519999999673,baseline_0-5
36,61,Thalamus,VAL,0.0,0.0,0.0,0.0,261.0,0.0,19.004519999999673,baseline_0-5
37,62,Thalamus,VAL,0.0,0.0,0.0,0.0,322.0,0.0,19.004519999999673,baseline_0-5
38,66,Thalamus,VAL,0.0,0.0,0.0,0.0,649.0,0.0,19.004519999999673,baseline_0-5
39,67,Thalamus,VAL,0.0,0.0,0.0,0.0,198.0,0.0,19.004519999999673,baseline_0-5
40,73,Thalamus,VAL,0.0,0.0,0.0,0.0,213.0,0.0,19.004519999999673,baseline_0-5
