,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
0,0.000930718672043,<HDF5 object reference>,30,1,0,0.0104000023757123,VAL,0.99,27.186045345507637,145279,0.5631490787269682,261,174,177,145279,Thalamus
4,2.217502330857682e-06,<HDF5 object reference>,32,5,4,0.0017268739309477,VAL,0.99,27.369178028320505,690805,0.4807370184254607,262,173,177,116700,Thalamus
6,0.028066790383966,<HDF5 object reference>,32,7,6,0.0330019050754437,VAL,0.99,27.546410732091203,778156,0.5356783919597989,262,173,177,81068,Thalamus
7,0.0026474700320333,<HDF5 object reference>,32,8,7,0.4371373552358645,VAL,0.99,27.790609864651685,786265,0.5356783919597988,262,173,177,8109,Thalamus
8,0.0005203198787241,<HDF5 object reference>,32,9,8,0.0063233783488992,VAL,0.99,27.900276141763868,826922,0.5356783919597989,262,173,177,40657,Thalamus
9,0.0016493490448718,<HDF5 object reference>,35,10,9,0.0055106294622073,VAL,0.99,28.122675351761586,857718,0.5356783919597988,262,172,177,30796,Thalamus
10,0.0863151886270652,<HDF5 object reference>,32,11,10,0.1162469686988392,VAL,0.99,28.240308267241517,928994,0.5768844221105527,262,173,177,71276,Thalamus
11,0.0013707731057713,<HDF5 object reference>,36,12,11,0.0,VAL,0.86,28.507240652382677,936767,0.4807370184254606,262,171,177,7773,Thalamus
12,0.0026675413167762,<HDF5 object reference>,35,13,12,0.0143360518853191,VAL,0.99,28.594973674072435,1002908,0.5494137353433837,262,172,177,66141,Thalamus
13,0.0007748194206138,<HDF5 object reference>,35,14,13,0.0022153619040559,VAL,0.99,28.610340286154155,1100049,0.5494137353433837,262,172,177,97141,Thalamus
14,9.241879040706462e-05,<HDF5 object reference>,35,15,14,0.0071604810997445,VAL,0.99,28.633840202678186,1178814,0.6318257956448909,262,172,177,78765,Thalamus
15,0.001728460111892,<HDF5 object reference>,36,16,15,0.0053854140410637,VAL,0.99,28.75333977819406,1359119,0.5082077051926298,262,171,177,180305,Thalamus
16,0.053503389218084,<HDF5 object reference>,36,17,16,0.0569451352971525,VAL,0.99,28.80390626523939,1426860,0.5494137353433837,262,171,177,67741,Thalamus
17,0.0005348053046233,<HDF5 object reference>,36,18,17,0.0133382798631771,VAL,0.99,28.928872488003435,1492511,0.4670016750418761,262,171,177,65651,Thalamus
22,0.0002727391336979,<HDF5 object reference>,38,23,22,0.0,VAL,0.99,29.220638118265754,1875133,0.5219430485762143,262,171,177,25521,Thalamus
25,0.022083903441649,<HDF5 object reference>,40,26,25,0.0049216870154496,VAL,0.99,29.359370958794898,1993203,0.5631490787269682,262,170,177,112883,Thalamus
27,0.0407305152921061,<HDF5 object reference>,41,28,27,0.211619810784464,VAL,0.99,29.393470837665973,2078667,0.5631490787269682,262,169,177,3514,Thalamus
28,0.0005912052913209,<HDF5 object reference>,41,29,28,0.0,VAL,0.99,29.3998041485022,2087904,0.535678391959799,262,169,177,9237,Thalamus
30,0.0008353447077048,<HDF5 object reference>,43,31,30,0.0222150567721227,VAL,0.99,29.423704063605385,2200322,0.5494137353433837,262,168,177,111135,Thalamus
31,0.0020924996045077,<HDF5 object reference>,43,32,31,0.0633318779361392,VAL,0.99,29.51053708849213,2254447,0.5082077051926298,262,168,177,54125,Thalamus
32,0.0013947099062016,<HDF5 object reference>,43,33,32,0.0544970591946237,VAL,0.99,29.64316995068947,2291737,0.4670016750418761,262,168,177,37290,Thalamus
34,0.0002672735488991,<HDF5 object reference>,44,35,34,0.0,VAL,0.99,29.723236332945874,2370275,0.4532663316582916,262,168,177,29902,Thalamus
36,0.0255758911065786,<HDF5 object reference>,43,37,36,0.1279231934898872,VAL,0.99,29.778202804361683,2388214,0.5494137353433837,262,168,177,16911,Thalamus
37,0.0002070196777976,<HDF5 object reference>,45,38,37,0.0038737565731074,VAL,0.99,29.865669160332004,2440159,0.5494137353433837,262,168,177,51945,Thalamus
39,0.00040597385536,<HDF5 object reference>,47,40,39,0.0038454255842244,VAL,0.99,30.113501613319613,2487510,0.4944723618090452,262,167,177,26068,Thalamus
41,0.0473758587400963,<HDF5 object reference>,47,42,41,0.1525425178007775,VAL,0.99,30.231301194874163,2513658,0.5219430485762143,262,167,177,14923,Thalamus
43,0.003431157583982,<HDF5 object reference>,48,44,43,0.0699397768416064,VAL,0.99,30.344534125983614,2591160,0.4807370184254606,262,166,177,39139,Thalamus
44,0.0113720828144206,<HDF5 object reference>,48,45,44,0.0811193039050127,VAL,0.99,30.37410068762449,2666883,0.4395309882747068,262,166,177,75723,Thalamus
46,0.0012416625188803,<HDF5 object reference>,49,47,46,0.0071220314204136,VAL,0.99,30.474833663136053,2754676,0.5219430485762143,262,166,177,27089,Thalamus
47,0.0001290208741485,<HDF5 object reference>,51,48,47,0.0,VAL,0.99,30.49076693987155,2790474,0.4670016750418761,262,165,176,35798,Thalamus
48,0.0932628085934453,<HDF5 object reference>,51,49,48,0.0074996535595649,VAL,0.99,30.51316686030293,2922465,0.4807370184254606,262,165,176,131991,Thalamus
49,0.0019604684114345,<HDF5 object reference>,51,50,49,0.0,VAL,0.99,30.52313349156634,2928271,0.4944723618090452,262,165,176,5806,Thalamus
50,0.0486255183187795,<HDF5 object reference>,51,51,50,0.0738290091514543,VAL,0.99,30.565466674524544,2992347,0.5219430485762143,262,165,176,64076,Thalamus
51,0.0176394417037492,<HDF5 object reference>,51,52,51,0.1257013014331042,VAL,0.99,30.815665785772012,2998795,0.4670016750418761,262,165,176,6448,Thalamus
54,0.0222258199748901,<HDF5 object reference>,52,55,54,0.1271604863285698,VAL,0.99,30.94486532683186,3106554,0.5082077051926298,262,164,176,22208,Thalamus
56,0.0673415957977343,<HDF5 object reference>,56,57,56,0.0767345568299933,VAL,0.99,31.101431437347344,3260807,0.5082077051926298,263,163,176,107761,Thalamus
58,0.016572566902041,<HDF5 object reference>,54,59,58,0.0649914169448016,VAL,0.99,31.267030849108266,3312404,0.4944723618090452,263,164,176,39599,Thalamus
59,0.0015774724760132,<HDF5 object reference>,54,60,59,0.0773746823547174,VAL,0.99,31.27906413969714,3336365,0.5082077051926297,263,164,176,23961,Thalamus
61,0.0006742366804947,<HDF5 object reference>,56,62,61,0.0,VAL,0.99,31.307564038460328,3460099,0.4944723618090452,263,163,176,16453,Thalamus
62,0.001791691743626,<HDF5 object reference>,56,63,62,0.0086212907960321,VAL,0.99,31.33423061040253,3552223,0.4670016750418761,263,163,176,92124,Thalamus
64,0.0031810084136164,<HDF5 object reference>,55,65,64,0.0899062643230655,VAL,0.99,31.448096872595613,3598767,0.5219430485762143,263,163,176,20172,Thalamus
68,0.0014389951053011,<HDF5 object reference>,59,69,68,0.1588023318931126,VAL,0.99,31.62686290425296,3690600,0.4944723618090451,263,161,176,8113,Thalamus
69,0.001223604630058,<HDF5 object reference>,60,70,69,0.0,VAL,0.95,31.670929414387388,3695251,0.4532663316582914,263,161,176,4651,Thalamus
71,0.0002073918062264,<HDF5 object reference>,60,72,71,0.0,VAL,0.99,31.84652879062662,3877750,0.4944723618090452,263,161,176,145889,Thalamus
73,0.0010787490450071,<HDF5 object reference>,61,74,73,0.2524403591952037,VAL,0.99,31.961628381772073,3911710,0.535678391959799,263,160,176,28777,Thalamus
76,0.0001037556074162,<HDF5 object reference>,63,77,76,0.0,VAL,0.99,32.21129416158067,3995202,0.5494137353433837,263,160,176,79573,Thalamus
77,0.0011137907404358,<HDF5 object reference>,63,78,77,0.0,VAL,0.99,32.360960296606095,4045073,0.4807370184254606,263,160,176,49871,Thalamus
78,0.0099307935590698,<HDF5 object reference>,63,79,78,0.0196603342588785,VAL,0.99,32.43459336838146,4140142,0.5494137353433836,263,160,176,95069,Thalamus
79,0.0011983865851736,<HDF5 object reference>,64,80,79,0.0017349384598641,VAL,0.99,32.490959834824196,4207362,0.4395309882747068,263,159,176,67220,Thalamus
81,0.0017099669587633,<HDF5 object reference>,65,82,81,0.0,VAL,0.99,32.7955587528337,4238199,0.4807370184254606,263,159,176,30786,Thalamus
82,0.0022554847810086,<HDF5 object reference>,66,83,82,0.0057604957828606,VAL,0.99,32.831391958881,4285824,0.4807370184254607,263,158,176,47625,Thalamus
84,0.0002729644210611,<HDF5 object reference>,67,85,84,0.0203497704471844,VAL,0.99,32.96322482392014,4470039,0.5219430485762143,263,158,176,43888,Thalamus
86,0.0547861564647762,<HDF5 object reference>,67,87,86,0.086954208515179,VAL,0.99,33.130157564278136,4579707,0.5494137353433836,263,158,176,73548,Thalamus
87,0.0465048301623465,<HDF5 object reference>,67,88,87,0.0679363444461984,VAL,0.99,33.17892405771738,4607443,0.5768844221105527,263,158,176,27736,Thalamus
89,0.0064035044024528,<HDF5 object reference>,68,90,89,0.0262597441326304,VAL,0.99,33.22072390923677,4627910,0.5219430485762144,263,157,176,19951,Thalamus
90,0.0001462624281849,<HDF5 object reference>,68,91,90,0.00031311484197,VAL,0.99,33.23162387051815,4832184,0.5082077051926298,263,157,176,204274,Thalamus
91,0.0002461179604149,<HDF5 object reference>,68,92,91,0.0,VAL,0.99,33.355590096834305,4854604,0.5082077051926298,263,157,176,22420,Thalamus
92,1.006387656572668e-05,<HDF5 object reference>,69,93,92,0.0,VAL,0.99,33.49812292386525,4880318,0.6318257956448912,263,157,176,25714,Thalamus
93,0.0001537848501479,<HDF5 object reference>,71,94,93,0.0032464654586972,VAL,0.99,33.52322283470579,4929458,0.5906197654941373,263,156,176,49140,Thalamus
94,0.0004861771932472,<HDF5 object reference>,71,95,94,0.0012114116540854,VAL,0.99,33.54465609190436,5033311,0.4944723618090452,263,156,176,103853,Thalamus
95,0.002677476398726,<HDF5 object reference>,71,96,95,0.0095545154332939,VAL,0.99,33.586489276638645,5155958,0.5082077051926298,263,156,176,122647,Thalamus
