,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
0,0,Thalamus,VAL,19,0.06780628814103708,53,2.789473684210526,792,0.06691919191919192,280.21000000000004,baseline_0-5
1,1,Thalamus,VAL,18,0.06423753613361406,48,2.6666666666666665,784,0.061224489795918366,280.21000000000004,baseline_0-5
2,2,Thalamus,VAL,7,0.024981264051961025,16,2.2857142857142856,459,0.034858387799564274,280.21000000000004,baseline_0-5
3,3,Thalamus,VAL,56,0.1998501124156882,201,3.5892857142857144,755,0.2662251655629139,280.21000000000004,baseline_0-5
4,5,Thalamus,VAL,3,0.01070625602226901,4,1.3333333333333333,248,0.016129032258064516,280.21000000000004,baseline_0-5
5,6,Thalamus,VAL,52,0.1855751043859962,123,2.3653846153846154,1392,0.08836206896551724,280.21000000000004,baseline_0-5
6,10,Thalamus,VAL,24,0.08565004817815208,85,3.5416666666666665,2005,0.04239401496259352,280.21000000000004,baseline_0-5
7,11,Thalamus,VAL,70,0.24981264051961025,284,4.057142857142857,1817,0.15630159603742433,280.21000000000004,baseline_0-5
8,12,Thalamus,VAL,29,0.1034938082152671,102,3.5172413793103448,406,0.2512315270935961,280.21000000000004,baseline_0-5
9,13,Thalamus,VAL,28,0.0999250562078441,92,3.2857142857142856,307,0.2996742671009772,280.21000000000004,baseline_0-5
10,17,Thalamus,VAL,26,0.0927875521929981,79,3.0384615384615383,574,0.13763066202090593,280.21000000000004,baseline_0-5
11,18,Thalamus,VAL,70,0.24981264051961025,234,3.342857142857143,3946,0.059300557526609225,280.21000000000004,baseline_0-5
12,20,Thalamus,VAL,46,0.16416259234145816,133,2.891304347826087,1446,0.09197786998616875,280.21000000000004,baseline_0-5
13,24,Thalamus,VAL,17,0.06066878412619106,37,2.176470588235294,2441,0.015157722244981565,280.21000000000004,baseline_0-5
14,25,Thalamus,VAL,40,0.14275008029692016,140,3.5,1826,0.07667031763417305,280.21000000000004,baseline_0-5
15,26,Thalamus,VAL,20,0.07137504014846008,89,4.45,414,0.21497584541062803,280.21000000000004,baseline_0-5
16,29,Thalamus,VAL,3,0.01070625602226901,5,1.6666666666666667,241,0.02074688796680498,280.21000000000004,baseline_0-5
17,31,Thalamus,VAL,39,0.13918132828949714,131,3.358974358974359,3138,0.04174633524537922,280.21000000000004,baseline_0-5
18,34,Thalamus,VAL,31,0.11063131223011312,140,4.516129032258065,879,0.15927189988623436,280.21000000000004,baseline_0-5
19,36,Thalamus,VAL,25,0.0892188001855751,95,3.8,281,0.33807829181494664,280.21000000000004,baseline_0-5
