,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
13,0.0078827137648409,<HDF5 object reference>,44,14,13,0.0070904059574865,PCN,0.99,37.37744134831657,1246512,1.3872696817420436,259,165,193,189495,Other
14,0.020997160976423,<HDF5 object reference>,48,15,14,0.2351617922800905,PCN,0.99,37.38284133378405,1265210,1.607035175879397,259,163,193,18698,Other
17,0.0330237362939171,<HDF5 object reference>,56,18,17,0.0799779401678537,PCN,0.99,37.39640796394,1359387,0.4257956448911223,260,159,192,27617,Other
18,0.0769599618283477,<HDF5 object reference>,59,19,18,0.0,PCN,0.99,37.42764121321795,1360571,0.5631490787269682,260,158,192,1184,Other
26,0.0246135689126685,<HDF5 object reference>,81,27,26,0.0243012190770293,CL,0.99,40.14780055935138,1818916,0.4944723618090452,261,149,191,98555,Thalamus
31,0.0024224524853913,<HDF5 object reference>,91,32,31,0.0216852115082594,CL,0.99,41.36203062493073,2139713,0.5494137353433837,262,144,190,11059,Thalamus
35,0.025729341939278,<HDF5 object reference>,96,36,35,0.0389789338678723,CL,0.99,42.7625601891381,2372421,1.4284757118927969,262,142,190,82073,Thalamus
38,0.0006976779771312,<HDF5 object reference>,100,39,38,0.0476461949035566,LD,0.99,43.003459540826185,2647675,0.4807370184254607,262,141,189,162261,Thalamus
39,0.0035981099675609,<HDF5 object reference>,103,40,39,0.053327781273949,LD,0.99,43.223325615786,2683634,0.604355108877722,262,140,189,35959,Thalamus
41,0.0095990563927629,<HDF5 object reference>,109,42,41,0.0229552868946522,LD,0.99,43.5836246461439,2808019,0.4944723618090452,262,137,189,51549,Thalamus
46,0.0656406913882735,<HDF5 object reference>,115,47,46,0.1214344068446626,LD,0.99,44.837587938125935,3080952,1.5658291457286433,263,135,188,45068,Thalamus
47,0.0652544436281608,<HDF5 object reference>,115,48,47,0.0,LD,0.99,44.844654585774734,3084270,1.5246231155778895,263,135,188,3318,Thalamus
48,0.0213664451949663,<HDF5 object reference>,119,49,48,0.0255036422615043,LD,0.99,44.85992121135563,3154181,1.3460636515912896,263,133,188,69911,Thalamus
52,0.0010440520455862,<HDF5 object reference>,122,53,52,0.0222166804477237,LD,0.99,45.025487432448024,3344540,1.4284757118927969,263,131,188,110886,Thalamus
53,0.0015039315793184,<HDF5 object reference>,125,54,53,0.0347039043669744,LD,0.99,45.03662073581925,3380584,0.5082077051926298,263,130,188,36044,Thalamus
55,0.0415384982545982,<HDF5 object reference>,131,56,55,0.0406306044023818,LD,0.99,45.047254040536075,3484987,0.5768844221105527,264,128,187,60997,Thalamus
74,0.0757067176886244,<HDF5 object reference>,170,75,74,0.3376757503962954,DG-sg,0.99,45.359653199802814,4212661,0.4532663316582916,266,111,185,15351,Other
82,0.0006706072677964,<HDF5 object reference>,194,83,82,0.0041446863745185,CA3,0.99,46.02301808121206,4494134,0.6867671691792293,267,100,184,25296,Other
95,0.0182023568609572,<HDF5 object reference>,264,96,95,0.4529925790995965,CA1,0.99,49.255409382152585,4986731,0.6730318257956448,271,70,180,42188,Other
97,0.0580665693024271,<HDF5 object reference>,265,98,97,0.0,CA1,0.49,49.75374137436746,4988119,0.5631490787269681,271,70,180,384,Other
98,0.0012928357647392,<HDF5 object reference>,268,99,98,0.2004930487050735,CA1,0.99,49.951340842584834,5043638,0.7005025125628142,271,69,180,55519,Other
102,0.0034081132514867,<HDF5 object reference>,268,103,102,0.1716423290988418,CA1,0.99,51.284937253590364,5201095,0.7554438860971523,271,69,180,71299,Other
107,0.0017747497247106,<HDF5 object reference>,271,108,107,0.4258343020893957,CA1,0.99,53.91756350196084,5381273,0.8241206030150753,271,67,180,59057,Other
115,0.0016193587058087,<HDF5 object reference>,274,116,115,0.049444767608514,CA1,0.99,55.59695898234678,5826390,0.7966499162479062,272,66,180,19377,Other
124,0.0008999938615379,<HDF5 object reference>,300,125,124,0.0,cing,0.99,58.238785205958145,6226508,0.7279731993299832,273,55,178,21646,Other
125,0.012520215276767,<HDF5 object reference>,300,126,125,0.0071221773123881,cing,0.99,59.20121594918356,6293355,0.4807370184254607,273,55,178,66847,Other
129,0.085110018131919,<HDF5 object reference>,304,130,129,0.0346720544899782,SSp-tr6b,0.99,61.98867511419873,6488139,0.5082077051926298,273,54,178,90469,Somatosensory
134,0.0273785222612085,<HDF5 object reference>,311,135,134,0.0908356891314293,SSp-tr6a,0.99,62.419073955902974,6585463,0.7142378559463985,273,50,177,23553,Somatosensory
135,0.0789515992298003,<HDF5 object reference>,311,136,135,0.0098677198733101,SSp-tr6a,0.83,62.528706994190244,6644573,0.4257956448911223,273,50,177,59110,Somatosensory
138,0.0025586131615676,<HDF5 object reference>,318,139,138,0.1286718878329858,SSp-tr6a,0.99,63.2635050166909,6705216,0.6592964824120603,273,47,177,9080,Somatosensory
143,0.0023409494826178,<HDF5 object reference>,322,144,143,0.0,SSp-tr6a,0.98,63.41727126953954,6781858,0.6180904522613064,274,46,176,6967,Somatosensory
144,0.044879609795235,<HDF5 object reference>,323,145,144,0.1604760324779112,SSp-tr6a,0.99,63.555037565447506,6822511,0.6592964824120603,274,45,176,40653,Somatosensory
145,0.0004182614160496,<HDF5 object reference>,324,146,145,0.032264827097715,SSp-tr6a,0.99,63.67500390925896,6842784,0.6455611390284757,274,45,176,20273,Somatosensory
148,0.0031012182422425,<HDF5 object reference>,326,149,148,0.0120444260330252,SSp-tr6a,0.99,63.814270201130114,6971105,0.5494137353433834,274,44,176,14839,Somatosensory
149,0.0022523827411079,<HDF5 object reference>,327,150,149,0.0,SSp-tr6a,0.99,63.97880309167009,6974647,0.5768844221105527,274,43,176,3542,Somatosensory
150,0.0872826181193562,<HDF5 object reference>,327,151,150,0.0105571654847655,SSp-tr6a,0.99,64.01460299532485,7062895,0.5356783919597988,274,43,176,88248,Somatosensory
153,0.0005779833671783,<HDF5 object reference>,329,154,153,0.1255007644068582,SSp-tr6a,0.98,64.51416831755391,7095624,0.6730318257956448,274,42,176,4597,Somatosensory
159,0.0027763601733701,<HDF5 object reference>,333,160,159,0.1975533727232129,SSp-tr5,0.86,65.13093332437343,7199935,0.6180904522613065,275,41,176,3664,Somatosensory
