,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
2,0.0004089902072475,<HDF5 object reference>,31,3,2,0.005259339791887,AMv,0.99,34.21330959484669,279965,0.5082077051926298,240,175,193,164763,Other
10,0.0166960749554448,<HDF5 object reference>,35,11,10,0.1395460369284238,AMd,0.99,36.957772420854795,823889,0.5219430485762143,240,173,192,70002,Other
13,0.0003077387695835,<HDF5 object reference>,39,14,13,0.0043241261189818,AMv,0.99,37.22370538203599,1075942,0.5768844221105527,240,171,192,77989,Other
20,0.0434644490673294,<HDF5 object reference>,43,21,20,0.0114617187043688,AMd,0.99,38.266970588735546,1649344,0.604355108877722,240,169,192,193313,Other
22,0.0503047808315732,<HDF5 object reference>,44,23,22,0.3915879661450205,AMd,0.99,38.844069781130884,1766175,0.5494137353433837,240,169,192,57200,Other
24,0.0102921474295454,<HDF5 object reference>,47,25,24,0.0282505852238529,AMd,0.99,39.57330209396129,1866295,0.5219430485762143,240,167,192,96487,Other
25,7.98953221282308e-05,<HDF5 object reference>,47,26,25,0.0005510025494363,AMd,0.99,40.390334283922726,2084772,0.4944723618090452,240,167,192,218477,Other
28,0.0453809668985682,<HDF5 object reference>,48,29,28,0.096822290060333,AMd,0.99,42.25943166826883,2381953,0.4944723618090452,240,167,192,115370,Other
29,0.0324665008663755,<HDF5 object reference>,49,30,29,0.1111700246172191,AMd,0.99,43.00363062682126,2460166,0.4944723618090452,240,166,192,78213,Other
34,0.0014559773019798,<HDF5 object reference>,55,35,34,0.0750570856292567,AV,0.99,44.15182902000846,2736622,0.4807370184254607,240,164,192,103501,Thalamus
37,0.0017956377855423,<HDF5 object reference>,53,38,37,0.0352638133646204,AV,0.99,45.826260010108115,2925858,0.4944723618090452,240,165,192,62787,Thalamus
39,0.0001103835841499,<HDF5 object reference>,55,40,39,0.0006714542263405,AV,0.99,45.92349320737128,3169221,0.4807370184254607,240,164,192,197913,Thalamus
40,0.0245863952118544,<HDF5 object reference>,55,41,40,0.0091145963953971,AV,0.99,45.99355977598533,3299225,0.8103852596314908,240,164,192,130004,Thalamus
42,4.347229931034069e-05,<HDF5 object reference>,56,43,42,0.012887864166811,AV,0.99,46.80239197742199,3442782,0.5082077051926298,241,164,192,106629,Thalamus
45,0.0127910547347821,<HDF5 object reference>,58,46,45,0.027649035748542,AV,0.99,47.09259157131062,3641104,0.5219430485762143,241,163,192,123368,Thalamus
50,7.252091155893883e-06,<HDF5 object reference>,59,51,50,0.0,AV,0.93,49.48782155270912,4281652,0.4532663316582916,241,163,192,35690,Thalamus
52,0.0001257423522463,<HDF5 object reference>,60,53,52,0.0134959081503283,AV,0.99,49.59128807458258,4444125,0.4807370184254607,241,162,192,127071,Thalamus
54,0.0046074141631252,<HDF5 object reference>,61,55,54,0.038529591006573,AV,0.99,49.769087825765894,4561512,0.4257956448911221,241,162,192,41896,Thalamus
55,0.0070377693487694,<HDF5 object reference>,61,56,55,0.021193142978504,AV,0.99,49.89008765643621,4647802,0.4532663316582916,241,162,192,86290,Thalamus
56,0.0593265842225029,<HDF5 object reference>,62,57,56,0.059978508385871,AV,0.99,49.95582089778107,4790267,0.5082077051926297,241,161,192,142465,Thalamus
59,2.373933785993009e-05,<HDF5 object reference>,63,60,59,0.0,AV,0.99,50.273253786892184,4903386,0.4120603015075377,241,161,192,10901,Thalamus
60,0.0004669811833071,<HDF5 object reference>,63,61,60,0.0175562930980297,AV,0.99,50.4343535614458,5039837,0.4944723618090452,241,161,192,136451,Thalamus
65,9.295465296705305e-05,<HDF5 object reference>,65,66,65,0.0,AV,0.99,50.657453249235445,5345416,0.4944723618090451,241,160,192,75325,Thalamus
71,0.0076210583497098,<HDF5 object reference>,67,72,71,0.0254130613348372,AV,0.99,51.170419198046844,6039844,0.4807370184254607,241,159,191,186000,Thalamus
74,0.0002039344082647,<HDF5 object reference>,70,75,74,0.0209820315476672,AV,0.99,51.53061869397615,6329939,0.4807370184254607,241,158,191,84633,Thalamus
