,unit_id,brain_area,location,total_spikes,firing_rate,rest_duration,bin
0,0,Other,AMd,335,1.15924977507094,288.9799999999998,baseline_0-5
1,1,Other,AMd,1280,4.42937227489792,288.9799999999998,baseline_0-5
2,4,Other,AMd,148,0.512146169285072,288.9799999999998,baseline_0-5
3,5,Other,AMd,2523,8.730708007474572,288.9799999999998,baseline_0-5
4,7,Other,AMd,877,3.034812097723028,288.9799999999998,baseline_0-5
5,9,Other,AMd,3399,11.762059658107836,288.9799999999998,baseline_0-5
6,12,Other,AMd,519,1.795972039587516,288.9799999999998,baseline_0-5
7,16,Other,AMd,1921,6.647518859436644,288.9799999999998,baseline_0-5
8,18,Other,AMd,1642,5.682054121392488,288.9799999999998,baseline_0-5
9,20,Other,AMd,3091,10.696241954460524,288.9799999999998,baseline_0-5
10,21,Thalamus,IAD,199,0.688628970863036,288.9799999999998,baseline_0-5
11,22,Other,AMd,2655,9.18748702332342,288.9799999999998,baseline_0-5
12,26,Thalamus,IAD,1462,5.059173645234968,288.9799999999998,baseline_0-5
13,28,Thalamus,IAD,1360,4.70620804207904,288.9799999999998,baseline_0-5
14,31,Thalamus,IAD,977,3.3808568066994282,288.9799999999998,baseline_0-5
15,41,Thalamus,IAD,1622,5.612845179597208,288.9799999999998,baseline_0-5
16,44,Thalamus,IAD,1325,4.5850923939373,288.9799999999998,baseline_0-5
17,61,Other,AD,1316,4.553948370129424,288.9799999999998,baseline_0-5
18,62,Other,AD,1111,3.844556716727804,288.9799999999998,baseline_0-5
19,66,Other,DG-mo,6170,21.35095854384388,288.9799999999998,baseline_0-5
20,68,Other,DG-mo,928,3.211294899300992,288.9799999999998,baseline_0-5
21,69,Other,DG-mo,832,2.879091978683648,288.9799999999998,baseline_0-5
22,74,Other,DG-mo,338,1.169631116340232,288.9799999999998,baseline_0-5
23,75,Other,DG-sg,10,0.03460447089764,288.9799999999998,baseline_0-5
24,76,Other,DG-sg,1903,6.585230811820892,288.9799999999998,baseline_0-5
25,78,Other,DG-sg,508,1.757907121600112,288.9799999999998,baseline_0-5
26,80,Other,DG-sg,295,1.02083189148038,288.9799999999998,baseline_0-5
27,81,Other,DG-sg,424,1.467229566059936,288.9799999999998,baseline_0-5
28,82,Other,DG-sg,2899,10.031836113225836,288.9799999999998,baseline_0-5
29,84,Other,DG-sg,3095,10.71008374281958,288.9799999999998,baseline_0-5
30,85,Other,alv,3281,11.353726901515683,288.9799999999998,baseline_0-5
31,92,Other,CA3,5419,18.752162779431117,288.9799999999998,baseline_0-5
32,98,Other,CA3,125,0.4325558862205,288.9799999999998,baseline_0-5
33,99,Other,CA3,78,0.269914873001592,288.9799999999998,baseline_0-5
34,100,Other,CA3,2,0.0069208941795280005,288.9799999999998,baseline_0-5
35,102,Other,CA3,182,0.629801370337048,288.9799999999998,baseline_0-5
36,107,Other,CA3,866,2.996747179735624,288.9799999999998,baseline_0-5
37,109,Other,CA3,4923,17.03578102290817,288.9799999999998,baseline_0-5
38,115,Other,CA3,2440,8.44349089902416,288.9799999999998,baseline_0-5
39,117,Other,CA3,13,0.044985812166932,288.9799999999998,baseline_0-5
40,123,Other,CA3,402,1.391099730085128,288.9799999999998,baseline_0-5
41,124,Other,CA3,532,1.840957851754448,288.9799999999998,baseline_0-5
42,128,Other,CA3,1046,3.619627655893144,288.9799999999998,baseline_0-5
43,137,Other,ccb,1419,4.910374420375116,288.9799999999998,baseline_0-5
44,138,Other,ccb,9913,34.303412000830534,288.9799999999998,baseline_0-5
45,139,Other,ccb,265,0.91701847878746,288.9799999999998,baseline_0-5
46,140,Other,ccb,471,1.629870579278844,288.9799999999998,baseline_0-5
47,142,Other,cing,1827,6.322236832998828,288.9799999999998,baseline_0-5
48,144,Other,cing,625,2.1627794311025,288.9799999999998,baseline_0-5
49,145,Other,cing,821,2.841027060696244,288.9799999999998,baseline_0-5
50,146,Other,cing,819,2.834106166516716,288.9799999999998,baseline_0-5
51,148,Other,cing,2840,9.82766973492976,288.9799999999998,baseline_0-5
52,149,Other,cing,981,3.394698595058484,288.9799999999998,baseline_0-5
53,150,Other,cing,743,2.571112187694652,288.9799999999998,baseline_0-5
54,151,Other,cing,2,0.0069208941795280005,288.9799999999998,baseline_0-5
55,154,Other,cing,85,0.29413800262994,288.9799999999998,baseline_0-5
56,155,Other,cing,35,0.12111564814174,288.9799999999998,baseline_0-5
57,158,Other,cing,140,0.48446259256696,288.9799999999998,baseline_0-5
58,159,Other,cing,2,0.0069208941795280005,288.9799999999998,baseline_0-5
59,160,Motor,MOs6b,39,0.134957436500796,288.9799999999998,baseline_0-5
60,161,Motor,MOs6a,413,1.429164648072532,288.9799999999998,baseline_0-5
61,163,Motor,MOs6a,127,0.439476780400028,288.9799999999998,baseline_0-5
62,165,Motor,MOs6a,543,1.879022769741852,288.9799999999998,baseline_0-5
63,166,Motor,MOs6a,176,0.609038687798464,288.9799999999998,baseline_0-5
64,168,Motor,MOs6a,437,1.512215378226868,288.9799999999998,baseline_0-5
65,169,Motor,MOs6a,356,1.231919163955984,288.9799999999998,baseline_0-5
66,173,Other,RSPagl5,16,0.055367153436224004,288.9799999999998,baseline_0-5
67,174,Other,RSPagl5,461,1.595266108381204,288.9799999999998,baseline_0-5
68,175,Other,RSPagl5,2058,7.121600110734312,288.9799999999998,baseline_0-5
69,176,Other,RSPagl6a,1112,3.848017163817568,288.9799999999998,baseline_0-5
70,178,Other,RSPagl5,802,2.775278565990728,288.9799999999998,baseline_0-5
71,179,Other,RSPagl5,41,0.141878330680324,288.9799999999998,baseline_0-5
72,180,Other,RSPagl5,2907,10.059519689943947,288.9799999999998,baseline_0-5
73,181,Other,RSPagl5,6,0.020762682538584,288.9799999999998,baseline_0-5
74,183,Other,RSPagl5,223,0.771679701017372,288.9799999999998,baseline_0-5
75,184,Other,RSPagl5,165,0.57097376981106,288.9799999999998,baseline_0-5
76,186,Other,RSPagl5,168,0.581355111080352,288.9799999999998,baseline_0-5
77,192,Other,AMd,2057,7.118139663644548,288.9799999999998,baseline_0-5
78,193,Other,AMd,1395,4.82732369022078,288.9799999999998,baseline_0-5
79,194,Thalamus,IAD,1972,6.824001661014608,288.9799999999998,baseline_0-5
80,200,Other,DG-mo,819,2.834106166516716,288.9799999999998,baseline_0-5
81,204,Other,CA3,111,0.384109626963804,288.9799999999998,baseline_0-5
82,206,Other,CA3,137,0.474081251297668,288.9799999999998,baseline_0-5
83,208,Other,ccb,9,0.031144023807876,288.9799999999998,baseline_0-5
84,210,Other,cing,19,0.065748494705516,288.9799999999998,baseline_0-5
85,211,Other,cing,31,0.107273859782684,288.9799999999998,baseline_0-5
86,213,Other,cing,518,1.792511592497752,288.9799999999998,baseline_0-5
87,217,Motor,MOs6a,113,0.391030521143332,288.9799999999998,baseline_0-5
88,219,Motor,MOs6a,205,0.70939165340162,288.9799999999998,baseline_0-5
89,220,Motor,MOs6a,68,0.235310402103952,288.9799999999998,baseline_0-5
90,221,Other,RSPagl5,1632,5.647449650494848,288.9799999999998,baseline_0-5
91,225,Other,RSPagl5,2331,8.066302166239884,288.9799999999998,baseline_0-5
92,226,Other,RSPagl5,244,0.844349089902416,288.9799999999998,baseline_0-5
93,228,Other,RSPagl5,1514,5.239116893902696,288.9799999999998,baseline_0-5
94,229,Other,RSPagl5,157,0.543290193092948,288.9799999999998,baseline_0-5
95,233,Other,DG-mo,6,0.020762682538584,288.9799999999998,baseline_0-5
96,234,Other,DG-mo,17,0.058827600525988,288.9799999999998,baseline_0-5
97,235,Other,cing,0,0.0,288.9799999999998,baseline_0-5
98,236,Other,cing,5,0.01730223544882,288.9799999999998,baseline_0-5
99,238,Motor,MOs6a,3,0.010381341269292,288.9799999999998,baseline_0-5
100,240,Other,DG-mo,11,0.038064917987404,288.9799999999998,baseline_0-5
101,242,Other,DG-sg,52,0.179943248667728,288.9799999999998,baseline_0-5
102,246,Other,cing,16,0.055367153436224004,288.9799999999998,baseline_0-5
103,247,Motor,MOs6a,265,0.91701847878746,288.9799999999998,baseline_0-5
104,248,Other,RSPagl5,383,1.325351235379612,288.9799999999998,baseline_0-5
105,249,Other,DG-mo,9,0.031144023807876,288.9799999999998,baseline_0-5
106,273,Thalamus,VPL,4514,15.620458163194696,288.9799999999998,baseline_0-5
107,301,Thalamus,VPL,11703,40.49761229150809,288.9799999999998,baseline_0-5
108,302,Thalamus,VPL,2110,7.30154335940204,288.9799999999998,baseline_0-5
109,305,Thalamus,VPL,5466,18.914803792650023,288.9799999999998,baseline_0-5
110,306,Thalamus,VPL,114,0.394490968233096,288.9799999999998,baseline_0-5
111,320,Thalamus,VPL,1208,4.180220084434912,288.9799999999998,baseline_0-5
112,322,Thalamus,VPM,1838,6.360301750986232,288.9799999999998,baseline_0-5
113,330,Thalamus,VPM,1154,3.993355941587656,288.9799999999998,baseline_0-5
114,333,Thalamus,VPM,2513,8.696103536576931,288.9799999999998,baseline_0-5
115,335,Thalamus,em,2689,9.305142224375397,288.9799999999998,baseline_0-5
116,340,Thalamus,em,3453,11.948923800955091,288.9799999999998,baseline_0-5
117,341,Thalamus,em,4927,17.049622811267227,288.9799999999998,baseline_0-5
118,342,Thalamus,em,2743,9.492006367222652,288.9799999999998,baseline_0-5
119,345,RT,RT,2284,7.903661153020976,288.9799999999998,baseline_0-5
120,346,RT,RT,730,2.52612637552772,288.9799999999998,baseline_0-5
121,347,RT,RT,202,0.699010312132328,288.9799999999998,baseline_0-5
122,348,RT,RT,1261,4.363623780192404,288.9799999999998,baseline_0-5
123,350,RT,RT,762,2.636860682400168,288.9799999999998,baseline_0-5
124,351,RT,RT,125,0.4325558862205,288.9799999999998,baseline_0-5
125,352,RT,RT,270,0.93432071423628,288.9799999999998,baseline_0-5
126,355,RT,RT,627,2.169700325282028,288.9799999999998,baseline_0-5
127,358,RT,RT,638,2.207765243269432,288.9799999999998,baseline_0-5
128,359,RT,RT,1917,6.633677071077588,288.9799999999998,baseline_0-5
129,363,RT,RT,4492,15.544328327219889,288.9799999999998,baseline_0-5
130,364,RT,RT,6838,23.66253719980623,288.9799999999998,baseline_0-5
131,370,RT,RT,1459,5.048792303965676,288.9799999999998,baseline_0-5
132,372,RT,RT,9776,33.829330749532865,288.9799999999998,baseline_0-5
133,375,RT,RT,3596,12.443767734791344,288.9799999999998,baseline_0-5
134,376,RT,RT,39,0.134957436500796,288.9799999999998,baseline_0-5
135,377,RT,RT,2663,9.215170600041532,288.9799999999998,baseline_0-5
136,378,RT,RT,2770,9.58543843864628,288.9799999999998,baseline_0-5
137,379,RT,RT,7535,26.07446882137174,288.9799999999998,baseline_0-5
138,380,RT,RT,1666,5.765104851546824,288.9799999999998,baseline_0-5
139,382,RT,RT,11467,39.680946778323786,288.9799999999998,baseline_0-5
140,383,RT,RT,2315,8.01093501280366,288.9799999999998,baseline_0-5
