,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
3,0.0009814149521516,<HDF5 object reference>,37,4,3,0.0563233139271147,AMd,0.99,28.867748805550846,252585,0.5356783919597988,242,170,204,65809,Other
6,0.000135453088299,<HDF5 object reference>,42,7,6,0.0449852774704088,AMd,0.99,29.834513182815343,525433,0.5494137353433836,243,168,203,77769,Other
8,1.0310471413645522e-05,<HDF5 object reference>,44,9,8,0.014892671076874,AMd,0.99,30.068645961697044,640689,0.5082077051926298,243,167,203,25099,Other
9,0.0322934256809773,<HDF5 object reference>,44,10,9,0.1975007819906064,AMd,0.99,30.98851045002553,752886,0.5082077051926298,243,167,203,112197,Other
10,0.0061690077931581,<HDF5 object reference>,47,11,10,0.2189234563014228,AMd,0.99,32.37307383789697,784281,0.4670016750418761,243,165,203,31395,Other
13,0.0121136399248528,<HDF5 object reference>,50,14,13,0.2455977737231142,IAD,0.99,33.52737110439672,967947,0.5494137353433837,243,164,204,36215,Thalamus
14,0.0079518953955717,<HDF5 object reference>,50,15,14,0.0922811536199896,IAD,0.99,33.921403504618894,1036580,0.5356783919597988,243,164,204,68633,Thalamus
16,0.0187115683879824,<HDF5 object reference>,52,17,16,0.3317653635879122,IAD,0.99,34.27623599767067,1128274,0.5219430485762143,243,164,203,42873,Thalamus
18,0.0740724025818748,<HDF5 object reference>,56,19,18,0.3484653354879008,IAD,0.99,35.31133354644818,1223479,0.4944723618090452,243,162,203,37176,Thalamus
40,0.0639278748585681,<HDF5 object reference>,419,41,40,0.2264621554213627,PO,0.99,41.510585532618464,2605502,0.4944723618090452,307,165,179,57689,Thalamus
43,0.0961077437220889,<HDF5 object reference>,426,44,43,0.3750068394707637,PO,0.99,42.10628412194005,2823875,0.4944723618090452,308,162,178,85177,Thalamus
46,0.0506650075024229,<HDF5 object reference>,428,47,46,0.3423817513381719,PO,0.99,43.92841314027562,2989343,0.5219430485762143,309,161,177,60746,Thalamus
48,0.0002377166163209,<HDF5 object reference>,429,49,48,0.1031929359981513,PO,0.99,44.114479366317426,3100099,0.5219430485762143,309,161,177,44040,Thalamus
65,0.0275452500149456,<HDF5 object reference>,719,66,65,0.0410495589883105,VISp5,0.99,50.13013178727125,4185403,0.6180904522613064,348,47,138,39034,Other
66,0.0506616156495259,<HDF5 object reference>,724,67,66,0.0401832809580665,VISp5,0.99,50.39143116848618,4329283,0.6043551088777218,349,45,137,143880,Other
69,0.0002403590490317,<HDF5 object reference>,800,70,69,0.0995435587740486,VPL,0.99,52.950958440583264,4418799,0.535678391959799,270,182,147,39235,Thalamus
77,0.0003333630734055,<HDF5 object reference>,802,78,77,0.0295807511489976,VPL,0.99,55.75061847735343,4848738,0.4395309882747068,271,181,147,51410,Thalamus
79,0.0001805102885746,<HDF5 object reference>,803,80,79,0.0954872031666588,VPL,0.99,55.79338504274426,4941291,0.4120603015075377,271,181,146,91922,Thalamus
89,0.0375642627016372,<HDF5 object reference>,819,90,89,0.2259384173487436,VPL,0.99,57.79121364500429,6054588,0.4670016750418759,273,174,144,60449,Thalamus
90,0.0968379343502935,<HDF5 object reference>,820,91,90,0.1064540293730306,VPL,0.99,58.70224482091767,6187572,0.6592964824120603,273,174,144,132984,Thalamus
91,0.0911012343088493,<HDF5 object reference>,828,92,91,0.4190090775027615,VPL,0.99,58.78257796401347,6258075,0.4532663316582913,274,171,142,70503,Thalamus
93,0.0301679158586386,<HDF5 object reference>,831,94,93,0.0485082052323113,VPL,0.99,59.77897560443655,6548388,0.5356783919597989,274,170,142,158768,Thalamus
97,0.0400540125367248,<HDF5 object reference>,837,98,97,0.0903916323016869,VPM,0.99,62.10310343398487,7007279,0.5082077051926299,275,168,141,140182,Thalamus
102,0.0338354587126292,<HDF5 object reference>,844,103,102,0.1771611483799172,VPM,0.99,63.03870121838854,7505241,0.535678391959799,276,165,140,90891,Thalamus
