,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
0,0.0180492282728773,<HDF5 object reference>,30,1,0,0.0816631877422289,VAL,0.99,28.601629798622945,68192,0.4807370184254606,259,166,184,68192,Thalamus
1,0.0134505962473514,<HDF5 object reference>,30,2,1,0.1049289525070885,VAL,0.99,28.8189961611016,157736,0.5356783919597988,259,166,184,89544,Thalamus
2,0.0835936506459477,<HDF5 object reference>,30,3,2,0.186757341335332,VAL,0.99,28.934495999468197,208842,0.467001675041876,259,166,184,51106,Thalamus
3,8.709502618357323e-05,<HDF5 object reference>,31,4,3,0.0074629393036381,VAL,0.99,28.957395967421398,264255,0.4807370184254606,259,166,184,55413,Thalamus
5,0.0002166205179002,<HDF5 object reference>,31,6,5,0.0277989218009552,VAL,0.99,29.08796245137001,374399,0.5082077051926298,259,166,184,70328,Thalamus
6,0.0695919152085102,<HDF5 object reference>,31,7,6,0.0939138687515868,VAL,0.99,29.219762266926004,432247,0.6180904522613065,259,166,184,57848,Thalamus
10,7.855473531747548e-05,<HDF5 object reference>,33,11,10,0.0004218636592279,VAL,0.99,30.220827532676516,677868,0.4944723618090452,260,164,184,176182,Thalamus
11,9.003088493374595e-05,<HDF5 object reference>,34,12,11,0.0003056185232078,VAL,0.99,30.386027301491765,781365,0.4807370184254607,260,164,184,103497,Thalamus
12,0.0299567091873294,<HDF5 object reference>,34,13,12,0.020874413011843,VAL,0.99,30.50286047132579,828222,0.4807370184254606,260,164,184,46857,Thalamus
13,0.0294974976004211,<HDF5 object reference>,35,14,13,0.018276048703792,VAL,0.99,30.57309370637295,870545,0.4532663316582916,260,164,184,42323,Thalamus
17,3.256109039346836e-06,<HDF5 object reference>,37,18,17,0.0,VAL,0.99,31.42842584273277,1190808,0.4944723618090452,260,162,184,79476,Thalamus
18,0.0001562393967448,<HDF5 object reference>,36,19,18,0.0057203523143264,VAL,0.99,31.542525683058557,1448461,0.4532663316582914,260,164,184,257653,Thalamus
20,0.0252052071030884,<HDF5 object reference>,38,21,20,0.0277321079807929,VAL,0.99,31.659392186179275,1674585,0.4944723618090452,260,162,182,109191,Thalamus
24,0.0754156854486357,<HDF5 object reference>,39,25,24,0.0414367910078286,VAL,0.99,32.05435830012033,2019804,0.4532663316582916,260,162,182,79002,Thalamus
25,0.0040195812361269,<HDF5 object reference>,40,26,25,0.0166823845149672,VAL,0.99,32.195758102241854,2159888,0.4532663316582913,260,162,182,140084,Thalamus
26,0.0104960656522534,<HDF5 object reference>,40,27,26,0.0376178458919621,VAL,0.99,32.40049114906656,2250333,0.4395309882747069,260,162,182,90445,Thalamus
29,0.0708372946686942,<HDF5 object reference>,41,30,29,0.1312052225457054,VAL,0.99,33.430089708220194,2512653,0.5082077051926299,260,162,182,18010,Thalamus
31,5.216813244890968e-05,<HDF5 object reference>,43,32,31,0.0012942102273463,VAL,0.99,33.63005609504882,2855380,0.4807370184254607,260,160,183,207367,Thalamus
34,0.0106219085272376,<HDF5 object reference>,44,35,34,0.034286852948938,VAL,0.99,34.64305467743288,3042699,0.4807370184254607,260,159,183,78779,Thalamus
36,5.659292463727385e-05,<HDF5 object reference>,45,37,36,0.0,VAL,0.91,34.89038766464215,3264977,0.4944723618090452,260,159,183,146901,Thalamus
39,0.0001585964089481,<HDF5 object reference>,48,40,39,0.000148856885001,VAL,0.99,35.44342022404767,3533445,0.4395309882747068,260,158,182,209724,Thalamus
40,0.0053466685683099,<HDF5 object reference>,48,41,40,0.0148905013866535,VAL,0.99,35.62265330655768,3648297,0.4944723618090451,260,158,182,114852,Thalamus
41,0.0001166382335679,<HDF5 object reference>,49,42,41,0.0,VAL,0.99,35.850952987069306,3745371,0.4257956448911223,260,158,182,97074,Thalamus
42,0.0550542438335093,<HDF5 object reference>,50,43,42,0.0176409374929831,VAL,0.99,35.90981957135658,3801538,0.4395309882747068,260,158,182,56167,Thalamus
43,0.0418591168950751,<HDF5 object reference>,50,44,43,0.0275291124965212,VAL,0.99,35.96965282095775,3906701,0.4395309882747068,260,158,182,105163,Thalamus
44,0.0003212919931882,<HDF5 object reference>,50,45,44,0.007293524027007,VAL,0.99,36.1858525184024,3976967,0.4670016750418761,260,158,182,70266,Thalamus
46,0.0049299711917155,<HDF5 object reference>,54,47,46,0.0203435952068134,VAL,0.99,36.42741884701501,4143569,0.4257956448911221,260,156,182,108384,Thalamus
48,0.0006553648304506,<HDF5 object reference>,54,49,48,0.085554414620942,VAL,0.99,36.687185150158115,4460327,0.4532663316582916,260,156,182,265284,Thalamus
50,0.000969049688269,<HDF5 object reference>,55,51,50,0.0396881325326094,VAL,0.99,36.889018201041154,5022309,0.5082077051926298,260,156,182,342180,Thalamus
52,0.0001359381053713,<HDF5 object reference>,56,53,52,0.0,VAL,0.99,37.21885107279799,5208568,0.4395309882747068,260,155,182,101242,Thalamus
55,0.0248368851576146,<HDF5 object reference>,57,56,55,0.0615592055541234,VAL,0.99,37.752083659912095,5409521,0.4120603015075377,260,155,182,133074,Thalamus
56,2.8922327131722844e-06,<HDF5 object reference>,58,57,56,0.0118585005843873,VAL,0.99,37.84958352346831,5498996,0.4395309882747068,260,154,182,89475,Thalamus
58,7.154349212207367e-05,<HDF5 object reference>,59,59,58,0.0004182079894334,VAL,0.99,39.089081788882964,5873589,0.4670016750418761,260,154,182,306487,Thalamus
60,0.0061978940897017,<HDF5 object reference>,60,61,60,0.0045604982641994,VAL,0.99,39.24611490246017,5967851,0.4670016750418761,260,154,182,70886,Thalamus
61,0.0448633752479624,<HDF5 object reference>,64,62,61,0.0607131088891429,VAL,0.99,39.41588133155138,6151575,0.4944723618090452,260,152,182,183724,Thalamus
