,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
0,0,Thalamus,CM,12,0.14892722137670286,33,2.75,539,0.061224489795918366,80.57627000000684,baseline_0-5
1,1,Thalamus,CM,6,0.07446361068835143,14,2.3333333333333335,470,0.029787234042553193,80.57627000000684,baseline_0-5
2,4,Thalamus,CM,2,0.02482120356278381,7,3.5,231,0.030303030303030304,80.57627000000684,baseline_0-5
3,5,Thalamus,CM,10,0.12410601781391904,26,2.6,198,0.13131313131313133,80.57627000000684,baseline_0-5
4,6,Thalamus,CM,21,0.26062263740923,56,2.6666666666666665,557,0.10053859964093358,80.57627000000684,baseline_0-5
5,7,Thalamus,CM,18,0.22339083206505428,52,2.888888888888889,698,0.07449856733524356,80.57627000000684,baseline_0-5
6,8,Thalamus,CM,30,0.3723180534417571,113,3.7666666666666666,347,0.3256484149855908,80.57627000000684,baseline_0-5
7,9,Thalamus,CM,15,0.18615902672087856,49,3.2666666666666666,177,0.2768361581920904,80.57627000000684,baseline_0-5
8,10,Thalamus,CM,0,0.0,0,0.0,10,0.0,80.57627000000684,baseline_0-5
9,11,Thalamus,CM,14,0.17374842493948667,46,3.2857142857142856,439,0.10478359908883828,80.57627000000684,baseline_0-5
10,12,Thalamus,MD,25,0.3102650445347976,72,2.88,302,0.23841059602649006,80.57627000000684,baseline_0-5
11,15,Thalamus,MD,5,0.06205300890695952,9,1.8,82,0.10975609756097561,80.57627000000684,baseline_0-5
12,16,Thalamus,MD,4,0.04964240712556762,8,2.0,208,0.038461538461538464,80.57627000000684,baseline_0-5
13,18,Thalamus,MD,17,0.21098023028366236,39,2.2941176470588234,307,0.1270358306188925,80.57627000000684,baseline_0-5
14,20,Thalamus,MD,37,0.4591922659115005,132,3.5675675675675675,644,0.20496894409937888,80.57627000000684,baseline_0-5
15,21,Thalamus,MD,4,0.04964240712556762,7,1.75,736,0.009510869565217392,80.57627000000684,baseline_0-5
16,24,Thalamus,MD,13,0.16133782315809475,51,3.923076923076923,182,0.2802197802197802,80.57627000000684,baseline_0-5
17,25,Thalamus,MD,21,0.26062263740923,64,3.0476190476190474,848,0.07547169811320754,80.57627000000684,baseline_0-5
18,26,Thalamus,MD,18,0.22339083206505428,56,3.111111111111111,292,0.1917808219178082,80.57627000000684,baseline_0-5
19,28,Thalamus,MD,11,0.13651661959531095,26,2.3636363636363638,661,0.039334341906202726,80.57627000000684,baseline_0-5
20,29,Thalamus,MD,0,0.0,0,0.0,17,0.0,80.57627000000684,baseline_0-5
21,30,Thalamus,MD,14,0.17374842493948667,39,2.7857142857142856,914,0.04266958424507659,80.57627000000684,baseline_0-5
22,31,Thalamus,MD,3,0.037231805344175715,6,2.0,215,0.027906976744186046,80.57627000000684,baseline_0-5
23,32,Thalamus,MD,10,0.12410601781391904,21,2.1,836,0.025119617224880382,80.57627000000684,baseline_0-5
24,34,Thalamus,MD,0,0.0,0,0.0,169,0.0,80.57627000000684,baseline_0-5
25,35,Thalamus,MD,13,0.16133782315809475,37,2.8461538461538463,192,0.19270833333333334,80.57627000000684,baseline_0-5
26,36,Thalamus,MD,15,0.18615902672087856,32,2.1333333333333333,323,0.09907120743034056,80.57627000000684,baseline_0-5
27,39,Thalamus,MD,7,0.08687421246974333,13,1.8571428571428572,428,0.030373831775700934,80.57627000000684,baseline_0-5
28,41,Thalamus,MD,8,0.09928481425113524,23,2.875,493,0.04665314401622718,80.57627000000684,baseline_0-5
29,42,Thalamus,MD,16,0.19856962850227047,33,2.0625,635,0.05196850393700787,80.57627000000684,baseline_0-5
30,43,Thalamus,MD,0,0.0,0,0.0,1101,0.0,80.57627000000684,baseline_0-5
31,44,Thalamus,MD,10,0.12410601781391904,22,2.2,1276,0.017241379310344827,80.57627000000684,baseline_0-5
32,45,Thalamus,MD,10,0.12410601781391904,23,2.3,778,0.02956298200514139,80.57627000000684,baseline_0-5
33,46,Thalamus,MD,6,0.07446361068835143,10,1.6666666666666667,820,0.012195121951219513,80.57627000000684,baseline_0-5
34,47,Thalamus,MD,7,0.08687421246974333,13,1.8571428571428572,537,0.024208566108007448,80.57627000000684,baseline_0-5
35,48,Thalamus,MD,3,0.037231805344175715,5,1.6666666666666667,578,0.00865051903114187,80.57627000000684,baseline_0-5
36,49,Thalamus,MD,21,0.26062263740923,76,3.619047619047619,903,0.08416389811738649,80.57627000000684,baseline_0-5
37,50,Thalamus,MD,0,0.0,0,0.0,764,0.0,80.57627000000684,baseline_0-5
38,52,Thalamus,MD,27,0.3350862480975814,57,2.111111111111111,410,0.13902439024390245,80.57627000000684,baseline_0-5
39,54,Thalamus,MD,2,0.02482120356278381,3,1.5,645,0.004651162790697674,80.57627000000684,baseline_0-5
40,56,Thalamus,MD,2,0.02482120356278381,3,1.5,806,0.0037220843672456576,80.57627000000684,baseline_0-5
41,57,Thalamus,MD,17,0.21098023028366236,55,3.235294117647059,831,0.06618531889290012,80.57627000000684,baseline_0-5
42,59,Thalamus,MD,3,0.037231805344175715,4,1.3333333333333333,1172,0.0034129692832764505,80.57627000000684,baseline_0-5
43,61,Thalamus,MD,5,0.06205300890695952,7,1.4,877,0.00798175598631699,80.57627000000684,baseline_0-5
44,62,Thalamus,MD,19,0.2358014338464462,61,3.210526315789474,698,0.08739255014326648,80.57627000000684,baseline_0-5
45,64,Thalamus,MD,1,0.012410601781391905,2,2.0,1228,0.0016286644951140066,80.57627000000684,baseline_0-5
46,66,Thalamus,MD,11,0.13651661959531095,15,1.3636363636363635,508,0.02952755905511811,80.57627000000684,baseline_0-5
47,68,Thalamus,MD,2,0.02482120356278381,3,1.5,2504,0.0011980830670926517,80.57627000000684,baseline_0-5
48,72,Thalamus,MD,6,0.07446361068835143,13,2.1666666666666665,489,0.026584867075664622,80.57627000000684,baseline_0-5
49,73,Thalamus,MD,2,0.02482120356278381,3,1.5,945,0.0031746031746031746,80.57627000000684,baseline_0-5
50,74,Thalamus,MD,14,0.17374842493948667,29,2.0714285714285716,543,0.053406998158379376,80.57627000000684,baseline_0-5
51,75,Thalamus,MD,19,0.2358014338464462,65,3.4210526315789473,874,0.07437070938215103,80.57627000000684,baseline_0-5
52,77,Thalamus,MD,18,0.22339083206505428,43,2.388888888888889,947,0.0454065469904963,80.57627000000684,baseline_0-5
53,78,Thalamus,MD,5,0.06205300890695952,21,4.2,732,0.028688524590163935,80.57627000000684,baseline_0-5
54,79,Thalamus,MD,19,0.2358014338464462,57,3.0,237,0.24050632911392406,80.57627000000684,baseline_0-5
55,80,Thalamus,MD,2,0.02482120356278381,5,2.5,1164,0.00429553264604811,80.57627000000684,baseline_0-5
56,82,Thalamus,MD,21,0.26062263740923,59,2.8095238095238093,585,0.10085470085470086,80.57627000000684,baseline_0-5
57,85,Thalamus,MD,10,0.12410601781391904,21,2.1,834,0.025179856115107913,80.57627000000684,baseline_0-5
58,86,Thalamus,MD,11,0.13651661959531095,28,2.5454545454545454,629,0.04451510333863275,80.57627000000684,baseline_0-5
59,87,Thalamus,MD,6,0.07446361068835143,12,2.0,561,0.0213903743315508,80.57627000000684,baseline_0-5
60,91,Thalamus,MD,9,0.11169541603252714,30,3.3333333333333335,1094,0.027422303473491772,80.57627000000684,baseline_0-5
61,92,Thalamus,MD,18,0.22339083206505428,51,2.8333333333333335,852,0.05985915492957746,80.57627000000684,baseline_0-5
62,96,Thalamus,MD,4,0.04964240712556762,10,2.5,400,0.025,80.57627000000684,baseline_0-5
63,97,Thalamus,MD,2,0.02482120356278381,5,2.5,680,0.007352941176470588,80.57627000000684,baseline_0-5
64,101,Thalamus,MD,2,0.02482120356278381,2,1.0,360,0.005555555555555556,80.57627000000684,baseline_0-5
65,103,Thalamus,MD,5,0.06205300890695952,8,1.6,918,0.008714596949891068,80.57627000000684,baseline_0-5
66,104,Thalamus,MD,1,0.012410601781391905,2,2.0,259,0.007722007722007722,80.57627000000684,baseline_0-5
67,106,Thalamus,MD,1,0.012410601781391905,3,3.0,617,0.004862236628849271,80.57627000000684,baseline_0-5
68,107,Thalamus,MD,4,0.04964240712556762,8,2.0,1001,0.007992007992007992,80.57627000000684,baseline_0-5
69,110,Thalamus,MD,60,0.7446361068835142,131,2.183333333333333,1307,0.10022953328232594,80.57627000000684,baseline_0-5
70,112,Thalamus,MD,8,0.09928481425113524,17,2.125,637,0.026687598116169546,80.57627000000684,baseline_0-5
71,113,Thalamus,MD,7,0.08687421246974333,23,3.2857142857142856,611,0.03764320785597381,80.57627000000684,baseline_0-5
72,114,Thalamus,MD,15,0.18615902672087856,46,3.066666666666667,906,0.05077262693156733,80.57627000000684,baseline_0-5
73,115,Thalamus,MD,23,0.2854438409720138,87,3.782608695652174,408,0.21323529411764705,80.57627000000684,baseline_0-5
74,116,Thalamus,MD,10,0.12410601781391904,27,2.7,886,0.030474040632054177,80.57627000000684,baseline_0-5
75,117,Thalamus,MD,1,0.012410601781391905,2,2.0,811,0.002466091245376079,80.57627000000684,baseline_0-5
76,118,Thalamus,MD,9,0.11169541603252714,24,2.6666666666666665,1260,0.01904761904761905,80.57627000000684,baseline_0-5
77,119,Thalamus,MD,9,0.11169541603252714,20,2.2222222222222223,768,0.026041666666666668,80.57627000000684,baseline_0-5
78,122,Thalamus,MD,19,0.2358014338464462,66,3.473684210526316,603,0.10945273631840796,80.57627000000684,baseline_0-5
79,123,Thalamus,MD,3,0.037231805344175715,8,2.6666666666666665,632,0.012658227848101266,80.57627000000684,baseline_0-5
80,125,Thalamus,MD,16,0.19856962850227047,51,3.1875,543,0.09392265193370165,80.57627000000684,baseline_0-5
81,127,Thalamus,MD,3,0.037231805344175715,8,2.6666666666666665,332,0.024096385542168676,80.57627000000684,baseline_0-5
82,130,Thalamus,MD,5,0.06205300890695952,7,1.4,504,0.013888888888888888,80.57627000000684,baseline_0-5
