,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
1,0.0842903534486646,<HDF5 object reference>,30,2,1,0.0,VAL,0.69,50.14854351314986,52421,0.5906197654941373,248,176,180,1919,Thalamus
4,0.0001512819706655,<HDF5 object reference>,34,5,4,0.0,VAL,0.99,76.29748158764843,294377,0.5768844221105526,248,174,180,73161,Thalamus
5,0.0004278200377327,<HDF5 object reference>,33,6,5,0.014436704099812,VAL,0.99,76.30168157770208,358847,0.5356783919597989,248,175,180,64470,Thalamus
9,0.0792976216323028,<HDF5 object reference>,36,10,9,0.0,VAL,0.91,76.32441485719883,495219,0.5219430485762143,248,173,179,1216,Thalamus
10,0.0002411350737697,<HDF5 object reference>,34,11,10,0.0005790618186093,VAL,0.99,76.32988151091945,609030,0.5219430485762143,248,174,180,113811,Thalamus
11,0.0080493453254658,<HDF5 object reference>,38,12,11,0.1867920275662712,VAL,0.99,76.33441483351704,620885,0.5082077051926298,248,172,179,11855,Thalamus
12,0.0037557624329323,<HDF5 object reference>,39,13,12,0.0,VAL,0.99,76.33894815611464,632613,0.5082077051926297,248,172,179,11728,Thalamus
13,0.0651051981070746,<HDF5 object reference>,39,14,13,0.2039660509863416,VAL,0.99,76.34338147894904,680169,0.5631490787269682,248,172,179,47556,Thalamus
14,0.0748515046479502,<HDF5 object reference>,40,15,14,0.167571526464205,VAL,0.99,76.34791480154664,695129,0.4532663316582916,248,171,179,14960,Thalamus
15,8.583737628071632e-06,<HDF5 object reference>,42,16,15,0.0082523263670336,VAL,0.99,76.35458145242544,725277,0.5631490787269681,249,171,179,30148,Thalamus
16,3.760936548236949e-06,<HDF5 object reference>,42,17,16,0.0015842201731657,VAL,0.99,76.35881477573349,794085,0.4944723618090452,249,171,179,68808,Thalamus
18,0.0386305294413675,<HDF5 object reference>,43,19,18,0.0961729571301612,VAL,0.99,76.36838141974458,899929,0.5356783919597988,249,170,179,103931,Thalamus
19,0.0141206168734037,<HDF5 object reference>,44,20,19,0.1062582146011302,VAL,0.99,76.3727480760702,925134,0.5082077051926298,249,170,179,25205,Thalamus
20,0.0474897193250484,<HDF5 object reference>,44,21,20,0.2443062342670706,VAL,0.99,76.37738139843097,929052,0.5631490787269682,249,170,179,3918,Thalamus
