,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
1,0.0532334747809435,<HDF5 object reference>,30,2,1,0.2382706759664126,VAL,0.99,64.18376936932248,103437,0.5082077051926298,244,176,179,44477,Thalamus
4,0.0264351829542277,<HDF5 object reference>,31,5,4,0.0884967628968256,VAL,0.99,65.98399688920676,223389,0.5219430485762143,244,176,179,56835,Thalamus
5,0.0219237059619212,<HDF5 object reference>,31,6,5,0.0959934240401774,VAL,0.99,68.38768912699766,295224,0.5219430485762143,244,176,179,71835,Thalamus
7,0.0006155894159468,<HDF5 object reference>,31,8,7,0.0203322053052326,VAL,0.99,73.37927300774697,423439,0.4944723618090452,244,176,179,56743,Thalamus
12,0.0004139365697696,<HDF5 object reference>,33,13,12,0.0,VAL,0.99,78.69888916251966,520068,0.5631490787269682,244,175,179,61871,Thalamus
13,0.0118425567513928,<HDF5 object reference>,33,14,13,0.022993714208504,VAL,0.99,79.45648671602072,593617,0.5219430485762143,244,175,179,73549,Thalamus
17,0.0001854263388449,<HDF5 object reference>,36,18,17,0.0,VAL,0.99,82.1025781710353,739652,0.4807370184254607,244,173,179,68259,Thalamus
18,0.007287102120176,<HDF5 object reference>,36,19,18,0.024755232998473,VAL,0.99,82.12037811355418,819870,0.5082077051926298,244,173,179,80218,Thalamus
19,0.0001759049924199,<HDF5 object reference>,37,20,19,0.0019014194399111,VAL,0.99,82.1571113282655,887624,0.535678391959799,244,173,179,67754,Thalamus
23,0.0059816521899354,<HDF5 object reference>,43,24,23,0.0640950331517193,VAL,0.99,83.66467312658432,994202,0.4257956448911223,245,170,179,27368,Thalamus
25,0.0003510901534976,<HDF5 object reference>,43,26,25,0.0,VAL,0.99,84.1626381851795,1079490,0.5631490787269682,245,170,179,68496,Thalamus
26,0.0049592185309639,<HDF5 object reference>,43,27,26,0.2296580365355841,VAL,0.99,84.30043774018537,1091820,0.4944723618090452,245,170,179,12330,Thalamus
28,0.0080791579815972,<HDF5 object reference>,44,29,28,0.0071457727352778,VAL,0.99,84.56823687538542,1241848,0.8103852596314907,245,170,179,103384,Thalamus
30,0.0009525048760447,<HDF5 object reference>,48,31,30,0.0050546941649239,VAL,0.99,85.33510106562852,1440537,0.7554438860971523,245,168,179,160943,Thalamus
31,1.2277375557979214e-05,<HDF5 object reference>,48,32,31,0.0,VAL,0.99,85.87149933344523,1461615,0.4257956448911223,245,168,179,21078,Thalamus
33,0.0008668482094069,<HDF5 object reference>,48,34,33,0.0214723999852414,VAL,0.99,87.34672790284395,1536938,0.4807370184254607,245,168,179,30243,Thalamus
34,0.0076348598594927,<HDF5 object reference>,48,35,34,0.0198568375245317,VAL,0.99,87.52886064801862,1586108,0.5219430485762144,245,168,179,49170,Thalamus
36,0.0134444024126059,<HDF5 object reference>,51,37,36,0.0374985450742408,VAL,0.99,88.88578959944061,1694067,0.5631490787269682,245,167,179,60549,Thalamus
