,amplitude_cutoff,electrode_group,electrodes,electrodes_index,id,isi_violations,location,presence_ratio,spike_times,spike_times_index,waveform_duration,x,y,z,spike_count,brain_area
0,0.0653648896753749,<HDF5 object reference>,30,1,0,0.0107088340536944,MD,0.99,32.49758320513952,13090,0.5768844221105527,277,166,198,13090,Thalamus
1,0.0012966606546223,<HDF5 object reference>,30,2,1,0.0032356302892334,MD,0.99,32.58718309904215,46768,0.6180904522613065,277,166,198,33678,Thalamus
5,0.0001862968394109,<HDF5 object reference>,31,6,5,0.0006612309052805,MD,0.99,34.53321412803377,212906,0.6180904522613065,277,166,198,91242,Thalamus
6,0.0126792515034487,<HDF5 object reference>,32,7,6,0.03004439873475,MD,0.99,34.633680675735604,220721,0.5219430485762143,277,165,197,7815,Thalamus
8,0.0126562553237314,<HDF5 object reference>,33,9,8,0.0046252644117126,MD,0.99,38.16040983298491,370293,0.7554438860971524,277,165,197,133613,Thalamus
10,0.0092684106285133,<HDF5 object reference>,35,11,10,0.0042649933113753,MD,0.99,40.528273695807556,861116,0.4257956448911223,276,164,197,437064,Thalamus
15,0.0654904556870643,<HDF5 object reference>,35,16,15,0.0983066014344548,MD,0.99,69.03820660318335,1064394,0.535678391959799,276,164,197,45926,Thalamus
16,0.0019421360947157,<HDF5 object reference>,38,17,16,0.15090984986851,MD,0.98,70.20540522107565,1067881,0.535678391959799,276,162,197,3487,Thalamus
21,0.0886308783519002,<HDF5 object reference>,40,22,21,0.0986988978360024,MD,0.99,76.75259746838931,1304086,0.5631490787269682,276,161,197,46037,Thalamus
22,0.0017303643200677,<HDF5 object reference>,41,23,22,0.009765397329373,MD,0.99,78.83679500044136,1369826,0.7691792294807371,276,161,197,65740,Thalamus
23,0.0004805789317339,<HDF5 object reference>,41,24,23,0.0143035159409651,MD,0.99,79.06206140036471,1403805,0.5768844221105527,276,161,197,33979,Thalamus
24,0.0119301232241142,<HDF5 object reference>,42,25,24,0.0244522189028379,MD,0.99,79.5555608160003,1429793,0.5082077051926297,276,161,197,25988,Thalamus
26,0.0004125767677561,<HDF5 object reference>,44,27,26,0.0110282492913997,MD,0.99,81.42352527076574,1566296,0.6318257956448912,276,160,197,18242,Thalamus
28,0.0600141380094132,<HDF5 object reference>,45,29,28,0.008855753599656,MD,0.99,83.52308945128843,1681434,0.7417085427135679,276,159,197,112425,Thalamus
29,0.0147857010404585,<HDF5 object reference>,45,30,29,0.0219402064015401,MD,0.99,87.56561799776739,1742096,0.5906197654941373,276,159,197,60662,Thalamus
30,0.0007430042161056,<HDF5 object reference>,47,31,30,0.0,MD,0.99,88.11008401971887,1780944,0.6867671691792293,276,158,196,38848,Thalamus
38,0.0009854134361999,<HDF5 object reference>,54,39,38,0.0,MD,0.99,109.1663924197757,2138523,0.5494137353433836,276,155,196,9714,Thalamus
39,0.048875152389513,<HDF5 object reference>,55,40,39,0.1124438317167801,MD,0.99,110.10065798015626,2169288,0.5631490787269682,276,155,196,30765,Thalamus
41,0.0233894684988289,<HDF5 object reference>,55,42,41,0.0,MD,0.68,115.13065202402046,2227364,0.6318257956448909,276,155,196,373,Thalamus
44,0.0006160023595779,<HDF5 object reference>,56,45,44,0.0207489555780113,MD,0.99,124.02013144968723,2300511,0.6180904522613065,276,154,196,9404,Thalamus
45,0.0008467964936021,<HDF5 object reference>,56,46,45,0.0136117267521514,MD,0.99,124.75222955827975,2388169,0.4807370184254607,276,154,196,87658,Thalamus
46,0.0015685715981296,<HDF5 object reference>,56,47,46,0.0740834340135787,MD,0.99,125.21816168785705,2413053,0.5768844221105527,276,154,196,24884,Thalamus
47,0.018364835480506,<HDF5 object reference>,56,48,47,0.1252494347090889,MD,0.99,125.31179477928521,2441439,0.6592964824120603,276,154,196,28386,Thalamus
48,2.7017019576249895e-05,<HDF5 object reference>,57,49,48,0.0,MD,0.99,125.35356133804613,2460596,0.8378559463986601,276,154,196,19157,Thalamus
50,0.0003676724780227,<HDF5 object reference>,56,51,50,0.001913353279864,MD,0.99,126.29019225155255,2538308,0.7005025125628139,276,154,196,30968,Thalamus
51,0.0008527280281175,<HDF5 object reference>,60,52,51,0.0531082341834341,MD,0.97,129.21041804035485,2548489,0.5906197654941373,276,152,196,10181,Thalamus
52,0.0049649008972545,<HDF5 object reference>,60,53,52,0.0023663372110029,MD,0.99,131.2686460561661,2684909,0.7417085427135678,276,152,196,136420,Thalamus
53,0.042942776328961,<HDF5 object reference>,60,54,53,0.0788263479821622,MD,0.99,131.43917894892024,2762406,0.7142378559463985,276,152,196,77497,Thalamus
54,0.0009588844875631,<HDF5 object reference>,61,55,54,0.0,MD,0.99,133.43937378132944,2775149,0.7005025125628142,276,152,196,12743,Thalamus
58,0.0005324429179276,<HDF5 object reference>,63,59,58,0.0073289813451531,MD,0.99,145.57304243346584,3122978,0.4120603015075377,276,151,195,133327,Thalamus
59,0.0007211804354063,<HDF5 object reference>,63,60,59,0.0105279066387378,MD,0.99,146.06020784151937,3149382,0.6730318257956448,276,151,195,26404,Thalamus
60,1.6951560461881946e-05,<HDF5 object reference>,64,61,60,0.0157471136314686,MD,0.99,146.2019074754322,3164648,0.5906197654941373,276,151,195,15266,Thalamus
61,0.0340927188873828,<HDF5 object reference>,64,62,61,0.0255849408360596,MD,0.99,146.31580718116732,3221458,0.5768844221105527,276,151,195,56810,Thalamus
64,0.0014842642457153,<HDF5 object reference>,63,65,64,0.0211337258593013,MD,0.99,150.37663168405712,3274236,0.5768844221105528,276,151,195,9318,Thalamus
65,0.008628588508909,<HDF5 object reference>,65,66,65,0.2043249711098505,MD,0.99,150.68579775166612,3288917,0.7142378559463987,276,150,195,14681,Thalamus
67,9.143935621041468e-06,<HDF5 object reference>,67,68,67,0.0045819243530714,MD,0.99,151.8993954001307,3330326,0.6730318257956449,275,149,195,28301,Thalamus
69,0.0467527655146702,<HDF5 object reference>,69,70,69,0.1756101963829938,MD,0.99,155.46588848949202,3344939,0.6730318257956449,275,148,195,10222,Thalamus
71,0.0792758752787036,<HDF5 object reference>,68,72,71,0.2261614843850642,MD,0.99,156.04622069834085,3380754,0.5906197654941373,275,149,195,16113,Thalamus
73,8.336022943935429e-05,<HDF5 object reference>,70,74,73,0.016964628232216,MD,0.99,159.18454795067382,3437182,0.6180904522613065,275,148,195,25475,Thalamus
74,0.0011530261781753,<HDF5 object reference>,70,75,74,0.0045206481758879,MD,0.99,159.51501397701082,3457329,0.5906197654941373,275,148,195,20147,Thalamus
76,0.0021927726667953,<HDF5 object reference>,71,77,76,0.016969931508844,MD,0.99,160.40487891942487,3516612,0.5906197654941373,275,147,195,20797,Thalamus
79,0.019484451831693,<HDF5 object reference>,74,80,79,0.2505399102476971,MD,0.99,162.7906409633041,3620006,0.6318257956448912,275,146,195,8558,Thalamus
80,0.0023321192659491,<HDF5 object reference>,74,81,80,0.0149297000457379,MD,0.99,163.2774400200547,3661487,0.8103852596314908,275,146,195,41481,Thalamus
